rebalance_strategy,slab_count,request_id,value,key,class_id
marginal-hits,64,750000,119,tail_hits,0
marginal-hits,64,750000,14,num_slabs,4
marginal-hits,64,750000,17,num_slabs,3
marginal-hits,64,750000,16,num_slabs,2
marginal-hits,64,750000,10,num_slabs,1
marginal-hits,64,750000,7,num_slabs,0
marginal-hits,64,800000,77,tail_hits,4
marginal-hits,64,800000,111,tail_hits,3
marginal-hits,64,800000,104,tail_hits,2
marginal-hits,64,800000,138,tail_hits,1
marginal-hits,64,800000,104,tail_hits,0
marginal-hits,64,800000,13,num_slabs,4
marginal-hits,64,800000,17,num_slabs,3
marginal-hits,64,800000,16,num_slabs,2
marginal-hits,64,800000,11,num_slabs,1
marginal-hits,64,800000,7,num_slabs,0
marginal-hits,64,850000,83,tail_hits,4
marginal-hits,64,850000,101,tail_hits,3
marginal-hits,64,850000,112,tail_hits,2
marginal-hits,64,850000,169,tail_hits,1
marginal-hits,64,850000,106,tail_hits,0
marginal-hits,64,850000,12,num_slabs,4
marginal-hits,64,850000,18,num_slabs,3
marginal-hits,64,850000,16,num_slabs,2
marginal-hits,64,850000,11,num_slabs,1
marginal-hits,64,850000,7,num_slabs,0
marginal-hits,64,900000,88,tail_hits,4
marginal-hits,64,900000,104,tail_hits,3
marginal-hits,64,900000,99,tail_hits,2
marginal-hits,64,900000,147,tail_hits,1
marginal-hits,64,900000,135,tail_hits,0
marginal-hits,64,900000,11,num_slabs,4
marginal-hits,64,900000,18,num_slabs,3
marginal-hits,64,900000,16,num_slabs,2
marginal-hits,64,900000,12,num_slabs,1
marginal-hits,64,900000,7,num_slabs,0
marginal-hits,64,950000,84,tail_hits,4
marginal-hits,64,950000,87,tail_hits,3
marginal-hits,64,950000,93,tail_hits,2
marginal-hits,64,950000,138,tail_hits,1
marginal-hits,64,950000,119,tail_hits,0
marginal-hits,64,950000,10,num_slabs,4
marginal-hits,64,950000,18,num_slabs,3
marginal-hits,64,950000,16,num_slabs,2
marginal-hits,64,950000,13,num_slabs,1
marginal-hits,64,950000,7,num_slabs,0
marginal-hits,64,1000000,116,tail_hits,4
marginal-hits,64,1000000,103,tail_hits,3
marginal-hits,64,1000000,116,tail_hits,2
marginal-hits,64,1000000,128,tail_hits,1
marginal-hits,64,1000000,119,tail_hits,0
marginal-hits,64,1000000,9,num_slabs,4
marginal-hits,64,1000000,18,num_slabs,3
marginal-hits,64,1000000,16,num_slabs,2
marginal-hits,64,1000000,13,num_slabs,1
marginal-hits,64,1000000,8,num_slabs,0
marginal-hits,64,1050000,129,tail_hits,4
marginal-hits,64,1050000,95,tail_hits,3
marginal-hits,64,1050000,95,tail_hits,2
marginal-hits,64,1050000,129,tail_hits,1
marginal-hits,64,1050000,116,tail_hits,0
marginal-hits,64,1050000,9,num_slabs,4
marginal-hits,64,1050000,17,num_slabs,3
marginal-hits,64,1050000,16,num_slabs,2
marginal-hits,64,1050000,14,num_slabs,1
marginal-hits,64,1050000,8,num_slabs,0
marginal-hits,64,1100000,104,tail_hits,4
marginal-hits,64,1100000,108,tail_hits,3
marginal-hits,64,1100000,136,tail_hits,2
marginal-hits,64,1100000,108,tail_hits,1
marginal-hits,64,1100000,111,tail_hits,0
marginal-hits,64,1100000,10,num_slabs,4
marginal-hits,64,1100000,17,num_slabs,3
marginal-hits,64,1100000,15,num_slabs,2
marginal-hits,64,1100000,14,num_slabs,1
marginal-hits,64,1100000,8,num_slabs,0
marginal-hits,64,1150000,103,tail_hits,4
marginal-hits,64,1150000,88,tail_hits,3
marginal-hits,64,1150000,99,tail_hits,2
marginal-hits,64,1150000,134,tail_hits,1
marginal-hits,64,1150000,117,tail_hits,0
marginal-hits,64,1150000,9,num_slabs,4
marginal-hits,64,1150000,17,num_slabs,3
marginal-hits,64,1150000,16,num_slabs,2
marginal-hits,64,1150000,14,num_slabs,1
marginal-hits,64,1150000,8,num_slabs,0
marginal-hits,64,1200000,111,tail_hits,4
marginal-hits,64,1200000,120,tail_hits,3
marginal-hits,64,1200000,99,tail_hits,2
marginal-hits,64,1200000,120,tail_hits,1
marginal-hits,64,1200000,113,tail_hits,0
marginal-hits,64,1200000,9,num_slabs,4
marginal-hits,64,1200000,16,num_slabs,3
marginal-hits,64,1200000,16,num_slabs,2
marginal-hits,64,1200000,15,num_slabs,1
marginal-hits,64,1200000,8,num_slabs,0
marginal-hits,64,1250000,118,tail_hits,4
marginal-hits,64,1250000,97,tail_hits,3
marginal-hits,64,1250000,126,tail_hits,2
marginal-hits,64,1250000,120,tail_hits,1
marginal-hits,64,1250000,108,tail_hits,0
marginal-hits,64,1250000,9,num_slabs,4
marginal-hits,64,1250000,17,num_slabs,3
marginal-hits,64,1250000,15,num_slabs,2
marginal-hits,64,1250000,15,num_slabs,1
marginal-hits,64,1250000,8,num_slabs,0
marginal-hits,64,1300000,132,tail_hits,4
marginal-hits,64,1300000,98,tail_hits,3
marginal-hits,64,1300000,118,tail_hits,2
marginal-hits,64,1300000,92,tail_hits,1
marginal-hits,64,1300000,123,tail_hits,0
marginal-hits,64,1300000,9,num_slabs,4
marginal-hits,64,1300000,16,num_slabs,3
marginal-hits,64,1300000,15,num_slabs,2
marginal-hits,64,1300000,16,num_slabs,1
marginal-hits,64,1300000,8,num_slabs,0
marginal-hits,64,1350000,116,tail_hits,4
marginal-hits,64,1350000,91,tail_hits,3
marginal-hits,64,1350000,125,tail_hits,2
marginal-hits,64,1350000,119,tail_hits,1
marginal-hits,64,1350000,131,tail_hits,0
marginal-hits,64,1350000,10,num_slabs,4
marginal-hits,64,1350000,16,num_slabs,3
marginal-hits,64,1350000,15,num_slabs,2
marginal-hits,64,1350000,15,num_slabs,1
marginal-hits,64,1350000,8,num_slabs,0
marginal-hits,64,1400000,111,tail_hits,4
marginal-hits,64,1400000,122,tail_hits,3
marginal-hits,64,1400000,101,tail_hits,2
marginal-hits,64,1400000,110,tail_hits,1
marginal-hits,64,1400000,128,tail_hits,0
marginal-hits,64,1400000,10,num_slabs,4
marginal-hits,64,1400000,15,num_slabs,3
marginal-hits,64,1400000,15,num_slabs,2
marginal-hits,64,1400000,15,num_slabs,1
marginal-hits,64,1400000,9,num_slabs,0
marginal-hits,64,1450000,115,tail_hits,4
marginal-hits,64,1450000,109,tail_hits,3
marginal-hits,64,1450000,129,tail_hits,2
marginal-hits,64,1450000,96,tail_hits,1
marginal-hits,64,1450000,107,tail_hits,0
marginal-hits,64,1450000,10,num_slabs,4
marginal-hits,64,1450000,15,num_slabs,3
marginal-hits,64,1450000,14,num_slabs,2
marginal-hits,64,1450000,15,num_slabs,1
marginal-hits,64,1450000,10,num_slabs,0
marginal-hits,64,1500000,110,tail_hits,4
marginal-hits,64,1500000,105,tail_hits,3
marginal-hits,64,1500000,103,tail_hits,2
marginal-hits,64,1500000,107,tail_hits,1
marginal-hits,64,1500000,108,tail_hits,0
marginal-hits,64,1500000,10,num_slabs,4
marginal-hits,64,1500000,15,num_slabs,3
marginal-hits,64,1500000,15,num_slabs,2
marginal-hits,64,1500000,14,num_slabs,1
marginal-hits,64,1500000,10,num_slabs,0
marginal-hits,64,1550000,125,tail_hits,4
marginal-hits,64,1550000,118,tail_hits,3
marginal-hits,64,1550000,111,tail_hits,2
marginal-hits,64,1550000,103,tail_hits,1
marginal-hits,64,1550000,119,tail_hits,0
marginal-hits,64,1550000,11,num_slabs,4
marginal-hits,64,1550000,15,num_slabs,3
marginal-hits,64,1550000,14,num_slabs,2
marginal-hits,64,1550000,14,num_slabs,1
marginal-hits,64,1550000,10,num_slabs,0
marginal-hits,64,1600000,95,tail_hits,4
marginal-hits,64,1600000,123,tail_hits,3
marginal-hits,64,1600000,116,tail_hits,2
marginal-hits,64,1600000,98,tail_hits,1
marginal-hits,64,1600000,103,tail_hits,0
marginal-hits,64,1600000,12,num_slabs,4
marginal-hits,64,1600000,15,num_slabs,3
marginal-hits,64,1600000,14,num_slabs,2
marginal-hits,64,1600000,13,num_slabs,1
marginal-hits,64,1600000,10,num_slabs,0
marginal-hits,64,1650000,86,tail_hits,4
marginal-hits,64,1650000,107,tail_hits,3
marginal-hits,64,1650000,113,tail_hits,2
marginal-hits,64,1650000,114,tail_hits,1
marginal-hits,64,1650000,123,tail_hits,0
marginal-hits,64,1650000,12,num_slabs,4
marginal-hits,64,1650000,16,num_slabs,3
marginal-hits,64,1650000,14,num_slabs,2
marginal-hits,64,1650000,12,num_slabs,1
marginal-hits,64,1650000,10,num_slabs,0
marginal-hits,64,1700000,101,tail_hits,4
marginal-hits,64,1700000,117,tail_hits,3
marginal-hits,64,1700000,103,tail_hits,2
marginal-hits,64,1700000,110,tail_hits,1
marginal-hits,64,1700000,108,tail_hits,0
marginal-hits,64,1700000,11,num_slabs,4
marginal-hits,64,1700000,16,num_slabs,3
marginal-hits,64,1700000,14,num_slabs,2
marginal-hits,64,1700000,12,num_slabs,1
marginal-hits,64,1700000,11,num_slabs,0
marginal-hits,64,1750000,130,tail_hits,4
marginal-hits,64,1750000,105,tail_hits,3
marginal-hits,64,1750000,102,tail_hits,2
marginal-hits,64,1750000,119,tail_hits,1
marginal-hits,64,1750000,132,tail_hits,0
marginal-hits,64,1750000,10,num_slabs,4
marginal-hits,64,1750000,17,num_slabs,3
marginal-hits,64,1750000,14,num_slabs,2
marginal-hits,64,1750000,12,num_slabs,1
marginal-hits,64,1750000,11,num_slabs,0
marginal-hits,64,1800000,97,tail_hits,4
marginal-hits,64,1800000,91,tail_hits,3
marginal-hits,64,1800000,98,tail_hits,2
marginal-hits,64,1800000,115,tail_hits,1
marginal-hits,64,1800000,106,tail_hits,0
marginal-hits,64,1800000,10,num_slabs,4
marginal-hits,64,1800000,17,num_slabs,3
marginal-hits,64,1800000,13,num_slabs,2
marginal-hits,64,1800000,12,num_slabs,1
marginal-hits,64,1800000,12,num_slabs,0
marginal-hits,64,1850000,96,tail_hits,4
marginal-hits,64,1850000,113,tail_hits,3
marginal-hits,64,1850000,94,tail_hits,2
marginal-hits,64,1850000,113,tail_hits,1
marginal-hits,64,1850000,116,tail_hits,0
marginal-hits,64,1850000,10,num_slabs,4
marginal-hits,64,1850000,16,num_slabs,3
marginal-hits,64,1850000,13,num_slabs,2
marginal-hits,64,1850000,13,num_slabs,1
marginal-hits,64,1850000,12,num_slabs,0
marginal-hits,64,1900000,117,tail_hits,4
marginal-hits,64,1900000,100,tail_hits,3
marginal-hits,64,1900000,118,tail_hits,2
marginal-hits,64,1900000,101,tail_hits,1
marginal-hits,64,1900000,90,tail_hits,0
marginal-hits,64,1900000,10,num_slabs,4
marginal-hits,64,1900000,16,num_slabs,3
marginal-hits,64,1900000,12,num_slabs,2
marginal-hits,64,1900000,13,num_slabs,1
marginal-hits,64,1900000,13,num_slabs,0
marginal-hits,64,1950000,115,tail_hits,4
marginal-hits,64,1950000,111,tail_hits,3
marginal-hits,64,1950000,112,tail_hits,2
marginal-hits,64,1950000,119,tail_hits,1
marginal-hits,64,1950000,118,tail_hits,0
marginal-hits,64,1950000,10,num_slabs,4
marginal-hits,64,1950000,16,num_slabs,3
marginal-hits,64,1950000,13,num_slabs,2
marginal-hits,64,1950000,13,num_slabs,1
marginal-hits,64,1950000,12,num_slabs,0
marginal-hits,64,2000000,115,tail_hits,4
marginal-hits,64,2000000,113,tail_hits,3
marginal-hits,64,2000000,129,tail_hits,2
marginal-hits,64,2000000,111,tail_hits,1
marginal-hits,64,2000000,111,tail_hits,0
marginal-hits,64,2000000,10,num_slabs,4
marginal-hits,64,2000000,15,num_slabs,3
marginal-hits,64,2000000,13,num_slabs,2
marginal-hits,64,2000000,14,num_slabs,1
marginal-hits,64,2000000,12,num_slabs,0
marginal-hits,64,2050000,95,tail_hits,4
marginal-hits,64,2050000,100,tail_hits,3
marginal-hits,64,2050000,100,tail_hits,2
marginal-hits,64,2050000,110,tail_hits,1
marginal-hits,64,2050000,109,tail_hits,0
marginal-hits,64,2050000,10,num_slabs,4
marginal-hits,64,2050000,15,num_slabs,3
marginal-hits,64,2050000,14,num_slabs,2
marginal-hits,64,2050000,14,num_slabs,1
marginal-hits,64,2050000,11,num_slabs,0
marginal-hits,64,2100000,114,tail_hits,4
marginal-hits,64,2100000,119,tail_hits,3
marginal-hits,64,2100000,101,tail_hits,2
marginal-hits,64,2100000,98,tail_hits,1
marginal-hits,64,2100000,104,tail_hits,0
marginal-hits,64,2100000,9,num_slabs,4
marginal-hits,64,2100000,15,num_slabs,3
marginal-hits,64,2100000,14,num_slabs,2
marginal-hits,64,2100000,15,num_slabs,1
marginal-hits,64,2100000,11,num_slabs,0
marginal-hits,64,2150000,122,tail_hits,4
marginal-hits,64,2150000,106,tail_hits,3
marginal-hits,64,2150000,108,tail_hits,2
marginal-hits,64,2150000,100,tail_hits,1
marginal-hits,64,2150000,112,tail_hits,0
marginal-hits,64,2150000,9,num_slabs,4
marginal-hits,64,2150000,16,num_slabs,3
marginal-hits,64,2150000,14,num_slabs,2
marginal-hits,64,2150000,14,num_slabs,1
marginal-hits,64,2150000,11,num_slabs,0
marginal-hits,64,2200000,101,tail_hits,4
marginal-hits,64,2200000,102,tail_hits,3
marginal-hits,64,2200000,104,tail_hits,2
marginal-hits,64,2200000,93,tail_hits,1
marginal-hits,64,2200000,95,tail_hits,0
marginal-hits,64,2200000,10,num_slabs,4
marginal-hits,64,2200000,16,num_slabs,3
