trace_name,number_of_requests,wsr,slab_size,slab_cnt,rebalance_strategy,allocator,tag,throughput,rebalanced_slabs,miss_ratio,n_rebalanced_slabs,monitor_interval,n_alloc_failures,uuid,miss_ratio_reduction_from_disabled,miss_ratio_reduction_from_lru_disabled,tuned_improvement
meta_rnha,83429266,0.01,4,11416,marginal-hits,LRU2Q,cold,111990.17880206049,1661.0,0.6395671249384178,1661,50000,1,meta_rnha-a2bf613ceb8c84157e6b9ea1099dff7b,0.03712508680708926,0.0534427459646466,
meta_rnha,83429266,0.01,4,11416,free-mem,LRU2Q,,124206.47462410752,1.0,0.6766920199662358,1,50000,1,meta_rnha-0c0a05209276fddc097ddb8162affc57,1.9177927124136573e-07,0.016317850936828582,
meta_rnha,83429266,0.01,4,11416,marginal-hits-tuned,LRU2Q,cold,116700.43842919136,1545.0,0.6339420231605593,1545,50000,1,meta_rnha-c4af86a227418ee221974b4d68201792,0.042750188584947835,0.059067847742505175,0.005625101777858577
meta_rnha,83429266,0.01,4,11416,hits,LRU2Q,,112256.5174358724,433.0,0.6552327585460859,433,50000,1,meta_rnha-1ed780c7f8ca6eb63a8bf10fb828fc45,0.02145945319942122,0.03777711235697856,
meta_rnha,83429266,0.01,4,11416,disabled,LRU2Q,,121021.26709909708,,0.6766922117455071,0,50000,83,meta_rnha-ccaaca382390b3325597188df5eff482,0.0,0.01631765915755734,
meta_rnha,83429266,0.01,4,11416,tail-age,LRU2Q,,112538.86399649494,1605.0,0.682301563650713,1605,50000,1,meta_rnha-2263b87363b538fd28bf2d113877e372,-0.00560935190520595,0.01070830725235139,
meta_rnha,83429266,0.01,4,11416,tail-age,TINYLFU,,100539.79774527132,1656.0,0.6875858736635352,1656,50000,1,meta_rnha-0adcbf0a9fa44309b550cd11dcc7d1bc,0.0004107192818211258,0.0054239972395292435,
meta_rnha,83429266,0.01,4,11416,disabled,TINYLFU,,106649.01761111533,,0.6879965929453563,0,50000,43,meta_rnha-42307408ce5af1ea778b03cf1e4ddbf7,0.0,0.005013277957708118,
meta_rnha,83429266,0.01,4,11416,hits,TINYLFU,,104938.86212947743,424.0,0.6669152086068235,424,50000,1,meta_rnha-309cdd79e0cf45bddf7f222fb35407f3,0.021081384338532794,0.02609466229624091,
meta_rnha,83429266,0.01,4,11416,marginal-hits-tuned,TINYLFU,,97375.3960793438,1645.0,0.6452612432815227,1645,50000,1,meta_rnha-01a70d711b7b5c7011b231112302fabd,0.04273534966383363,0.04774862762154175,0.004231477772195125
meta_rnha,83429266,0.01,4,11416,marginal-hits,TINYLFU,,101877.61577215602,1661.0,0.6494927210537178,1661,50000,1,meta_rnha-688164aca21f2383b6a2e07175039dc9,0.03850387189163851,0.043517149849346626,
meta_rnha,83429266,0.01,4,11416,free-mem,TINYLFU,,102995.8516657018,1.0,0.68799288920818,1,50000,1,meta_rnha-b89735cd56385935cd889ff6b2a886d6,3.703737176286026e-06,0.005016981694884404,
meta_rprn,79209939,0.01,4,13046,disabled,LRU,,115630.1733197582,,0.5786126801660272,0,50000,31,meta_rprn-9cbc5cdeaa2e42c9c773372bb39f4ff3,0.0,0.0,
meta_rprn,79209939,0.01,4,13046,free-mem,LRU,,116722.4977417726,1.0,0.5786129326596383,1,50000,1,meta_rprn-e0f26e56ec0e00d3fac4bd63cdd836be,-2.524936111303333e-07,-2.524936111303333e-07,
meta_rprn,79209939,0.01,4,13046,hits,LRU,,113040.774558302,494.0,0.5647826708584814,494,50000,1,meta_rprn-096d37c67b5dee81ccdb43d1e05bed94,0.013830009307545743,0.013830009307545743,
meta_rprn,79209939,0.01,4,13046,tail-age,LRU,,113320.1663085784,921.0,0.5784088925724902,921,50000,1,meta_rprn-1a8d388883f57c6dfbe76a8e82469d79,0.00020378759353700815,0.00020378759353700815,
meta_rprn,79209939,0.01,4,13046,marginal-hits,LRU,,89115.67055888739,1576.0,0.5460439332571013,1576,50000,1,meta_rprn-f153c1b6d29d6548cfa8e4952f6b6421,0.03256874690892586,0.03256874690892586,
meta_rprn,79209939,0.01,4,13046,marginal-hits-tuned,LRU,,120049.91233518852,1475.0,0.5414667038253098,1475,50000,1,meta_rprn-280b817420a658400009c6044dda1963,0.03714597634071737,0.03714597634071737,0.004577229431791507
meta_rprn,79209939,0.01,4,13046,disabled,LRU2Q,,119722.88424847608,,0.56199223771516,0,50000,31,meta_rprn-cb20316ffc99abc240b681ad040b1b0b,0.0,0.016620442450867134,
meta_rprn,79209939,0.01,4,13046,free-mem,LRU2Q,,123138.07610041586,1.0,0.5619925659568545,1,50000,1,meta_rprn-1bdf8f9275a21715dfd98566a9fd526d,-3.2824169449163776e-07,0.016620114209172643,
meta_rprn,79209939,0.01,4,13046,tail-age,LRU2Q,,115274.1874793301,1515.0,0.5645893238757643,1515,50000,1,meta_rprn-64b10644bb521bf5301f22e7df9e2d05,-0.0025970861606042783,0.014023356290262856,
meta_rprn,79209939,0.01,4,13046,hits,LRU2Q,,123172.6003402646,498.0,0.5478040535955564,498,50000,1,meta_rprn-1620782681801c5eae85adb2d821d9fc,0.014188184119603653,0.030808626570470787,
meta_rprn,79209939,0.01,4,13046,marginal-hits-tuned,LRU2Q,cold,120991.45417079376,1379.0,0.5262909540692028,1379,50000,1,meta_rprn-fd8163222775f7989b0141076fe91bf2,0.03570128364595726,0.052321726096824395,0.005172180127679726
meta_rprn,79209939,0.01,4,13046,marginal-hits,LRU2Q,cold,116620.09948828508,1576.0,0.5314631341968825,1576,50000,1,meta_rprn-b9ebfb121ed5b1e03a49726c52f746df,0.030529103518277534,0.04714954596914467,
meta_rprn,79209939,0.01,4,13046,marginal-hits,TINYLFU,,104695.15676993656,1576.0,0.5394751352182192,1576,50000,1,meta_rprn-187d9bff892c3196fc70e29892220c75,0.03275701877005943,0.03913754494780797,
meta_rprn,79209939,0.01,4,13046,hits,TINYLFU,,102573.06794943666,500.0,0.5575861989517097,500,50000,1,meta_rprn-eb4b5f890f0b35e4a72af11768ab7105,0.014645955036568958,0.021026481214317494,
meta_rprn,79209939,0.01,4,13046,tail-age,TINYLFU,,99124.74357378516,1571.0,0.5736537435176211,1571,50000,1,meta_rprn-1b0a9fc1c9eb64da24e767f3c4c54801,-0.0014215895293424596,0.004958936648406076,
meta_rprn,79209939,0.01,4,13046,disabled,TINYLFU,,96687.64457659768,,0.5722321539882786,0,50000,31,meta_rprn-778e0f6b2ef42b15b350a8f9c44339b9,0.0,0.006380526177748536,
meta_rprn,79209939,0.01,4,13046,marginal-hits-tuned,TINYLFU,,110105.92549579128,1536.0,0.5365046615054868,1536,50000,1,meta_rprn-671b39f3eea642fdfce2874a0bdc0550,0.035727492482791834,0.04210801866054037,0.002970473712732402
meta_rprn,79209939,0.01,4,13046,free-mem,TINYLFU,,111243.6217393479,1.0,0.5722295533040841,1,50000,1,meta_rprn-9b5bde4bca7c44b59007bf15c17b7fb3,2.6006841945536152e-06,0.006383126861943089,
wiki_2016u,2799835139,0.01,4,8883,disabled,LRU,,428364.780440046,,0.2611505553049691,0,50000,0,wiki_2016u-6b2bc9706f879a824282074fe199f5c4,0.0,0.0,
wiki_2016u,2799835139,0.01,4,8883,free-mem,LRU,,406483.04449343873,,0.2611505553049691,0,50000,0,wiki_2016u-585fda5958fd3e2dad30463e1c927adf,0.0,0.0,
wiki_2016u,2799835139,0.01,4,8883,hits,LRU,,419679.6104379136,4182.0,0.1693127027865177,4182,50000,0,wiki_2016u-04cf39ce781af92014a8d598822aee22,0.09183785251845142,0.09183785251845142,
wiki_2016u,2799835139,0.01,4,8883,tail-age,LRU,,400250.3985396964,21.0,0.2591449743413122,21,50000,0,wiki_2016u-237f51032dec10e87b88885a3d1f455c,0.002005580963656939,0.002005580963656939,
wiki_2016u,2799835139,0.01,4,8883,marginal-hits,LRU,,431300.7836453759,55963.0,0.1389477256969794,55963,50000,0,wiki_2016u-52fed4b4936e22a44e171efa6018afcc,0.1222028296079897,0.1222028296079897,
wiki_2016u,2799835139,0.01,4,8883,marginal-hits-tuned,LRU,,382113.2983921383,6585.0,0.1166615940048478,6585,50000,0,wiki_2016u-b06d93ec2f26c47b3ac092a6631d6ad4,0.14448896130012132,0.14448896130012132,0.022286131692131617
wiki_2016u,2799835139,0.01,4,8883,hits,LRU2Q,,415992.84899479774,4209.0,0.1564732356126239,4209,50000,0,wiki_2016u-86e0f6791ad0a8a7a2309e761074bdbf,0.08470662149646849,0.1046773196923452,
wiki_2016u,2799835139,0.01,4,8883,marginal-hits,LRU2Q,cold,423385.9026407722,55963.0,0.1454344959102129,55963,50000,0,wiki_2016u-30497bfd12549175c6fdde2ef0c93f97,0.0957453611988795,0.11571605939475621,
wiki_2016u,2799835139,0.01,4,8883,tail-age,LRU2Q,,365022.90829674073,4371.0,0.1705581625588808,4371,50000,0,wiki_2016u-93b7cf24c3c33a9bfe7c7ed679781252,0.07062169455021161,0.09059239274608832,
wiki_2016u,2799835139,0.01,4,8883,free-mem,LRU2Q,,430811.1288361903,,0.2411798571090924,0,50000,0,wiki_2016u-1f4557cef9ca0a677c39c379c19209f4,0.0,0.019970698195876713,
wiki_2016u,2799835139,0.01,4,8883,marginal-hits-tuned,LRU2Q,cold,430271.1820849226,6732.0,0.1114536994603751,6732,50000,0,wiki_2016u-08a9e0e253a13fea171fd56d509e7aaa,0.1297261576487173,0.14969685584459402,0.0339807964498378
wiki_2016u,2799835139,0.01,4,8883,disabled,LRU2Q,,434943.1761123736,,0.2411798571090924,0,50000,0,wiki_2016u-bbeb699b9b3ba0b0f956c09741fe44f6,0.0,0.019970698195876713,
