4096,2048,total_slab_cnt,total_miss_ratio
0,1,1,0.76294745
1,1,2,0.55355575
1,2,3,0.525346
2,2,4,0.49758025
2,3,5,0.48092745
3,3,6,0.4644674
3,4,7,0.4525251
4,4,8,0.4407604
4,5,9,0.4314272
5,5,10,0.42226075
5,6,11,0.41462165
6,6,12,0.407126
6,7,13,0.40065235
7,7,14,0.39428395
7,8,15,0.3886151
8,8,16,0.38304615
8,9,17,0.37801575
9,9,18,0.3730916
9,10,19,0.36859605
10,10,20,0.36420415
10,11,21,0.36011295
11,11,22,0.35612395
11,12,23,0.35238175
12,12,24,0.34874945
12,13,25,0.34529045
13,13,26,0.3419114
13,14,27,0.3387118
14,14,28,0.3356074
14,15,29,0.33261035
15,15,30,0.3297026
15,16,31,0.3269262
16,16,32,0.32421475
16,17,33,0.32157505
17,17,34,0.3190036
17,18,35,0.3165237
18,18,36,0.31409815
18,19,37,0.311744
19,19,38,0.30944725
19,20,39,0.3072295
20,20,40,0.3050475
20,21,41,0.30290325
21,21,42,0.30079775
21,22,43,0.29875875
22,22,44,0.29676565
22,23,45,0.2948254
23,23,46,0.29290255
23,24,47,0.29104045
24,24,48,0.28920795
24,25,49,0.2873967
25,25,50,0.2856296
25,26,51,0.28390205
26,26,52,0.2822076
26,27,53,0.2805746
27,27,54,0.2789418
27,28,55,0.27733795
27,29,56,0.2757797
28,29,57,0.27422205
29,29,58,0.2727039
29,30,59,0.27121245
30,30,60,0.2697549
30,31,61,0.2683127
31,31,62,0.2668758
31,32,63,0.26546295
31,33,64,0.26409255
32,33,65,0.2627244
33,33,66,0.26137915
33,34,67,0.2600661
34,34,68,0.25876845
34,35,69,0.2574773
35,35,70,0.256213
35,36,71,0.25494945
35,37,72,0.25371775
36,37,73,0.25249435
36,38,74,0.25130195
37,38,75,0.2501169
38,38,76,0.24894475
38,39,77,0.2477848
39,39,78,0.2466477
39,40,79,0.24551865
40,40,80,0.2444088
40,41,81,0.243316
41,41,82,0.24224
41,42,83,0.2411641
42,42,84,0.24010485
42,43,85,0.23904955
42,44,86,0.2380126
43,44,87,0.2369793
44,44,88,0.2359773
44,45,89,0.23497795
45,45,90,0.23399145
45,46,91,0.23301035
45,47,92,0.23204055
46,47,93,0.2310733
46,48,94,0.2301249
47,48,95,0.22918195
48,48,96,0.22825105
48,49,97,0.2273344
49,49,98,0.2264266
49,50,99,0.2255193
50,50,100,0.2246246
50,51,101,0.2237309
51,51,102,0.2228492
51,52,103,0.221975
51,53,104,0.2211231
51,54,105,0.2202722
52,54,106,0.21942515
53,54,107,0.2185821
53,55,108,0.2177574
53,56,109,0.2169391
54,56,110,0.21612925
55,56,111,0.2153126
56,56,112,0.2145163
56,57,113,0.2137238
56,58,114,0.21295175
56,59,115,0.2121808
57,59,116,0.21141085
58,59,117,0.21063965
58,60,118,0.2098796
59,60,119,0.2091221
60,60,120,0.2083727
60,61,121,0.20763485
61,61,122,0.20690335
62,61,123,0.206177
62,62,124,0.2054526
62,63,125,0.20473485
63,63,126,0.2040194
63,64,127,0.203305
63,65,128,0.20260215
64,65,129,0.20190305
64,66,130,0.201214
65,66,131,0.2005254
66,66,132,0.1998451
67,66,133,0.1991655
67,67,134,0.198486
67,68,135,0.19782285
67,69,136,0.19716165
68,69,137,0.1965061
69,69,138,0.1958536
69,70,139,0.1952058
70,70,140,0.1945692
70,71,141,0.1939346
70,72,142,0.1933042
71,72,143,0.19267465
72,72,144,0.19205015
73,72,145,0.1914281
73,73,146,0.1908061
74,73,147,0.19019995
74,74,148,0.1895976
75,74,149,0.18900205
76,74,150,0.1884077
76,75,151,0.18781445
76,76,152,0.187227
77,76,153,0.1866446
77,77,154,0.18606335
78,77,155,0.1854851
78,78,156,0.1849099
79,78,157,0.1843396
79,79,158,0.18378035
79,80,159,0.1832197
80,80,160,0.18266655
80,81,161,0.18211615
81,81,162,0.18156845
82,81,163,0.1810174
82,82,164,0.18047095
82,83,165,0.179929
82,84,166,0.17939725
82,85,167,0.1788628
83,85,168,0.1783312
84,85,169,0.17779285
85,85,170,0.17726945
86,85,171,0.17673185
86,86,172,0.1762111
87,86,173,0.1756997
87,87,174,0.1751886
87,88,175,0.1746788
88,88,176,0.1741699
89,88,177,0.1736667
90,88,178,0.1731649
90,89,179,0.1726641
90,90,180,0.1721654
90,91,181,0.171666
91,91,182,0.17117615
92,91,183,0.17068575
92,92,184,0.1701968
93,92,185,0.169711
94,92,186,0.1692306
95,92,187,0.1687534
95,93,188,0.1682792
95,94,189,0.16780505
95,95,190,0.16732565
96,95,191,0.16685325
97,95,192,0.16638455
97,96,193,0.1659199
97,97,194,0.1654648
98,97,195,0.165011
99,97,196,0.1645528
99,98,197,0.1641034
100,98,198,0.16365405
100,99,199,0.1632061
100,100,200,0.1627608
101,100,201,0.16231665
101,101,202,0.16188185
101,102,203,0.161446
102,102,204,0.16101415
103,102,205,0.160577
104,102,206,0.16014055
104,103,207,0.1597092
105,103,208,0.15927965
106,103,209,0.1588529
107,103,210,0.1584299
108,103,211,0.15801185
108,104,212,0.1575968
108,105,213,0.15717775
108,106,214,0.15675295
109,106,215,0.15633935
110,106,216,0.1559346
111,106,217,0.1555185
111,107,218,0.1551142
111,108,219,0.1547074
111,109,220,0.1543084
111,110,221,0.15390475
112,110,222,0.15351125
113,110,223,0.1531073
113,111,224,0.15271595
114,111,225,0.15232685
115,111,226,0.15193805
116,111,227,0.1515485
117,111,228,0.1511584
117,112,229,0.15077045
117,113,230,0.1503746
117,114,231,0.14999055
118,114,232,0.14960875
