total_slabs,miss_ratio_disabled,miss_ratio_optimal,slab_distribution_disabled,slab_distribution_optimal,distance_to_optimal
33,0.66711785,0.6155085,"[6, 27]","[33, 0]",27
251,0.4431676,0.4390426,"[38, 213]","[60, 191]",213
491,0.26956705,0.2693026,"[75, 416]","[67, 424]",424
85,0.59569915,0.56813955,"[14, 71]","[56, 29]",71
128,0.54983955,0.5337245,"[21, 107]","[56, 72]",107
363,0.357987,0.3574202,"[54, 309]","[64, 299]",309
62,0.62203145,0.5869054,"[11, 51]","[54, 8]",51
317,0.3920585,0.3904717,"[47, 270]","[62, 255]",270
110,0.5682789,0.5480517,"[18, 92]","[56, 54]",92
394,0.33568445,0.33551545,"[59, 335]","[65, 329]",335
184,0.498649,0.48996595,"[29, 155]","[57, 127]",155
103,0.5754617,0.55365935,"[17, 86]","[56, 47]",86
227,0.4630108,0.45710865,"[34, 193]","[60, 167]",193
114,0.5635836,0.54485635,"[19, 95]","[56, 58]",95
37,0.6581939,0.61040905,"[7, 30]","[37, 0]",30
321,0.38894245,0.38756765,"[48, 273]","[62, 259]",273
352,0.36604545,0.3652406,"[52, 300]","[63, 289]",300
69,0.6134933,0.5811744,"[12, 57]","[55, 14]",57
381,0.3449286,0.34467665,"[57, 324]","[64, 317]",324
245,0.44806235,0.44353615,"[37, 208]","[60, 185]",208
249,0.4446386,0.44053745,"[38, 211]","[60, 189]",211
411,0.32378935,0.3237006,"[61, 350]","[66, 345]",350
254,0.4409625,0.43679535,"[38, 216]","[60, 194]",216
344,0.37189675,0.3709638,"[51, 293]","[62, 282]",293
437,0.3057884,0.3057884,"[66, 371]","[66, 371]",371
137,0.5415649,0.5266229,"[22, 115]","[57, 80]",115
123,0.55509695,0.5376868,"[20, 103]","[57, 66]",103
32,0.667924,0.6168789,"[6, 26]","[32, 0]",26
443,0.30167335,0.30166325,"[67, 376]","[66, 377]",377
359,0.36079115,0.3602647,"[54, 305]","[63, 296]",305
140,0.539258,0.5242542,"[22, 118]","[57, 83]",118
424,0.31473155,0.314716,"[64, 360]","[66, 358]",360
54,0.6317384,0.5934734,"[10, 44]","[54, 0]",44
80,0.59965875,0.57221565,"[14, 66]","[56, 24]",66
178,0.5040351,0.49460995,"[28, 150]","[57, 121]",150
71,0.6119051,0.57954465,"[12, 59]","[56, 15]",59
97,0.5820289,0.55847595,"[16, 81]","[56, 41]",81
262,0.43464175,0.43083085,"[39, 223]","[60, 202]",223
169,0.51262405,0.5015592,"[26, 143]","[57, 112]",143
156,0.52358265,0.51171625,"[25, 131]","[57, 99]",131
473,0.2814501,0.28131655,"[72, 401]","[67, 406]",406
311,0.3966446,0.39483095,"[46, 265]","[61, 250]",265
25,0.68046405,0.62774805,"[5, 20]","[25, 0]",20
282,0.41888015,0.41606275,"[42, 240]","[60, 222]",240
403,0.3293846,0.32925705,"[60, 343]","[65, 338]",343
258,0.43759395,0.433812,"[39, 219]","[60, 198]",219
75,0.6060377,0.5762968,"[13, 62]","[56, 19]",62
445,0.30030885,0.30030055,"[67, 378]","[66, 379]",379
95,0.58361545,0.56007265,"[16, 79]","[56, 39]",79
141,0.53849535,0.5234698,"[22, 119]","[57, 84]",119
268,0.4298307,0.42638815,"[40, 228]","[60, 208]",228
448,0.2982534,0.2982534,"[67, 381]","[67, 381]",381
126,0.55277225,0.53530855,"[20, 106]","[57, 69]",106
93,0.58519335,0.5616828,"[16, 77]","[56, 37]",77
205,0.4813891,0.47380895,"[31, 174]","[58, 147]",174
12,0.71070685,0.65966845,"[3, 9]","[12, 0]",9
395,0.33500105,0.3348235,"[59, 336]","[65, 330]",336
39,0.6565791,0.6080567,"[7, 32]","[39, 0]",32
86,0.5927021,0.56732765,"[15, 71]","[56, 30]",71
386,0.34134235,0.3411332,"[58, 328]","[64, 322]",328
38,0.65738065,0.60921665,"[7, 31]","[38, 0]",31
177,0.5047924,0.4953907,"[28, 149]","[57, 120]",149
27,0.6788304,0.6243875,"[5, 22]","[27, 0]",22
192,0.49188675,0.4837868,"[30, 162]","[57, 135]",162
494,0.2675747,0.26731815,"[75, 419]","[69, 425]",425
447,0.29893515,0.2989329,"[67, 380]","[66, 381]",381
28,0.6711913,0.62278365,"[6, 22]","[28, 0]",22
84,0.5964978,0.568957,"[14, 70]","[56, 28]",70
433,0.30854025,0.3085397,"[65, 368]","[66, 367]",368
286,0.4156466,0.41310215000000006,"[43, 243]","[60, 226]",243
307,0.39953025,0.3977357,"[46, 261]","[61, 246]",261
233,0.45798145,0.4525913,"[35, 198]","[60, 173]",198
68,0.61429395,0.5819939,"[12, 56]","[55, 13]",56
396,0.33430835,0.3341232,"[59, 337]","[65, 331]",337
253,0.4416982,0.4375502,"[38, 215]","[60, 193]",215
420,0.3175184,0.31748085,"[63, 357]","[67, 353]",357
