directory,allocator,cacheSizeMB,allocSizes,moveOnSlabRelease,rebalanceStrategy,poolRebalanceIntervalSec,trace_name,cache_size,op_count,uuid,file_path,_rebalanceEvents,_rebalancerAvgPickTimeMs,_rebalancerPickVictimRounds,_rebalancerNumRuns,_ramEvictions,_allocAttempts,_nvmItem,_getMissRatio,_getCnt,_getMissCnt,_totalMissCnt,_acEvictionAgeStats,_poolUsageFraction,_acStats,_rebalancerAvgReleaseTimeMs,_rebalancerAvgRebalanceTimeMs,_rebalancerNumRebalancedSlabs,_numEvictions,_evicAttempts,_allocFailures,_ramItem,_missRatio
synth_zipf_050_512_534f1efa-d338-49d0-8616-a6f42624aef9,LRU,648,[512],False,disabled,0,synth_zipf_050_512,648,21000000,synth_zipf_050_512_534f1efa-d338-49d0-8616-a6f42624aef9,traces/synth_zipf_050_512.csv,"[{'events': [], 'pid': 0}]",0,0,0,0,700000,0,96.66666666666667,21000000,700000,700000,"[{'evictionAge': 459886, 'cid': 0, 'pid': 0}]","[{'usage': 0.5341614906832298, 'pid': 0}]","[{'totalSlabs': 86, 'getMissRatio': 3.3333333333333335, 'getMissCnt': 700000, 'getCnt': 21000000, 'allocSize': 512, 'cid': 0, 'pid': 0}]",0,0,0,0,0,0,700000,0.03333333333333333
synth_zipf_100_1024_d5f5f3c2-6c4a-444f-9d97-e0c54def5c96,LRU,736,[1024],False,disabled,0,synth_zipf_100_1024,736,10500000,synth_zipf_100_1024_d5f5f3c2-6c4a-444f-9d97-e0c54def5c96,traces/synth_zipf_100_1024.csv,"[{'events': [], 'pid': 0}]",0,0,0,0,606296,0,94.22575238095239,10500000,606296,606296,"[{'evictionAge': 0, 'cid': 0, 'pid': 0}]","[{'usage': 0.8142076502732241, 'pid': 0}]","[{'totalSlabs': 149, 'getMissRatio': 5.774247619047619, 'getMissCnt': 606296, 'getCnt': 10500000, 'allocSize': 1024, 'cid': 0, 'pid': 0}]",0,0,0,0,0,0,606296,0.05774247619047619
synth_zipf_000_1024_7f16e904-5fb4-4ad8-b815-81d4bab85730,LRU2Q,984,[1024],False,disabled,0,synth_zipf_000_1024,984,21000000,synth_zipf_000_1024_7f16e904-5fb4-4ad8-b815-81d4bab85730,traces/synth_zipf_000_1024.csv,"[{'events': [], 'pid': 0}]",0,0,0,0,700000,0,96.66666666666667,21000000,700000,700000,"[{'evictionAge': 302124, 'cid': 0, 'pid': 0}]","[{'usage': 0.6979591836734693, 'pid': 0}]","[{'totalSlabs': 171, 'getMissRatio': 3.3333333333333335, 'getMissCnt': 700000, 'getCnt': 21000000, 'allocSize': 1024, 'cid': 0, 'pid': 0}]",0,0,0,0,0,0,700000,0.03333333333333333
synth_zipf_050_1024_cdb5f5bb-f908-41da-a9e2-75cc4cc609ec,LRU2Q,56,[1024],False,disabled,0,synth_zipf_050_1024,56,21000000,synth_zipf_050_1024_cdb5f5bb-f908-41da-a9e2-75cc4cc609ec,traces/synth_zipf_050_1024.csv,"[{'events': [], 'pid': 0}]",0,0,0,16560334,16613582,0,20.887704761904757,21000000,16613582,16613582,"[{'evictionAge': 773, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 13, 'getMissRatio': 79.11229523809524, 'getMissCnt': 16613582, 'getCnt': 21000000, 'allocSize': 1024, 'cid': 0, 'pid': 0}]",0,0,0,16560334,16560334,0,53248,0.7911229523809524
synth_zipf_050_1024_8de74658-822c-4986-b3b6-eb0db5bbccab,LRU2Q,572,[1024],False,disabled,0,synth_zipf_050_1024,572,21000000,synth_zipf_050_1024_8de74658-822c-4986-b3b6-eb0db5bbccab,traces/synth_zipf_050_1024.csv,"[{'events': [], 'pid': 0}]",0,0,0,2139969,2721601,0,87.03999523809524,21000000,2721601,2721601,"[{'evictionAge': 41083, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 142, 'getMissRatio': 12.960004761904761, 'getMissCnt': 2721601, 'getCnt': 21000000, 'allocSize': 1024, 'cid': 0, 'pid': 0}]",0,0,0,2139969,2139969,0,581632,0.12960004761904761
synth_zipf_050_1024_686865d1-6dbe-4777-836a-7de591cd4a80,LRU2Q,532,[1024],False,disabled,0,synth_zipf_050_1024,532,10500000,synth_zipf_050_1024_686865d1-6dbe-4777-836a-7de591cd4a80,traces/synth_zipf_050_1024.csv,"[{'events': [], 'pid': 0}]",0,0,0,1386134,1926806,0,81.64946666666667,10500000,1926806,1926806,"[{'evictionAge': 30678, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 132, 'getMissRatio': 18.350533333333335, 'getMissCnt': 1926806, 'getCnt': 10500000, 'allocSize': 1024, 'cid': 0, 'pid': 0}]",0,0,0,1386134,1386134,0,540672,0.18350533333333333
synth_zipf_100_1024_dbceae50-d8d1-4b71-9389-a11d298f197f,LRU,220,[1024],False,disabled,0,synth_zipf_100_1024,220,10500000,synth_zipf_100_1024_dbceae50-d8d1-4b71-9389-a11d298f197f,traces/synth_zipf_100_1024.csv,"[{'events': [], 'pid': 0}]",0,0,0,1088976,1310160,0,87.52228571428572,10500000,1310160,1310160,"[{'evictionAge': 34639, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 54, 'getMissRatio': 12.477714285714285, 'getMissCnt': 1310160, 'getCnt': 10500000, 'allocSize': 1024, 'cid': 0, 'pid': 0}]",0,0,0,1088976,1088976,0,221184,0.12477714285714285
synth_zipf_100_1024_8cb1b251-bd19-4a66-a5e0-5137f61fbe51,LRU,1244,[1024],False,disabled,0,synth_zipf_100_1024,1244,21000000,synth_zipf_100_1024_8cb1b251-bd19-4a66-a5e0-5137f61fbe51,traces/synth_zipf_100_1024.csv,"[{'events': [], 'pid': 0}]",0,0,0,0,678264,0,96.77017142857143,21000000,678264,678264,"[{'evictionAge': 0, 'cid': 0, 'pid': 0}]","[{'usage': 0.5354838709677419, 'pid': 0}]","[{'totalSlabs': 166, 'getMissRatio': 3.2298285714285715, 'getMissCnt': 678264, 'getCnt': 21000000, 'allocSize': 1024, 'cid': 0, 'pid': 0}]",0,0,0,0,0,0,678264,0.03229828571428572
synth_zipf_100_512_18ff21f9-b3bf-46ef-a26d-71d9ba88e271,LRU2Q,132,[512],False,disabled,0,synth_zipf_100_512,132,10500000,synth_zipf_100_512_18ff21f9-b3bf-46ef-a26d-71d9ba88e271,traces/synth_zipf_100_512.csv,"[{'events': [], 'pid': 0}]",0,0,0,829432,1091576,0,89.6040380952381,10500000,1091576,1091576,"[{'evictionAge': 99431, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 32, 'getMissRatio': 10.395961904761904, 'getMissCnt': 1091576, 'getCnt': 10500000, 'allocSize': 512, 'cid': 0, 'pid': 0}]",0,0,0,829432,829432,0,262144,0.10395961904761905
synth_zipf_100_1024_75f760c1-8895-4915-ba1c-9870ee9fc589,LRU2Q,208,[1024],False,disabled,0,synth_zipf_100_1024,208,10500000,synth_zipf_100_1024_75f760c1-8895-4915-ba1c-9870ee9fc589,traces/synth_zipf_100_1024.csv,"[{'events': [], 'pid': 0}]",0,0,0,1054831,1263727,0,87.96450476190476,10500000,1263727,1263727,"[{'evictionAge': 20719, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 51, 'getMissRatio': 12.035495238095239, 'getMissCnt': 1263727, 'getCnt': 10500000, 'allocSize': 1024, 'cid': 0, 'pid': 0}]",0,0,0,1054831,1054831,0,208896,0.12035495238095238
