directory,cacheSizeMB,rebalanceStrategy,poolRebalanceIntervalSec,poolRebalancerFreeAllocThreshold,disablepoolRebalancer,allocFactor,allocator,rebalanceDiffRatio,ltaMinTailAgeDifference,rebalanceMinSlabs,ltaNumSlabsFreeMem,ltaSlabProjectionLength,test_group,hpsMinDiff,hpsNumSlabsFreeMem,hpsMinLruTailAge,hpsMaxLruTailAge,mhMovingAverageParam,mhMaxFreeMemSlabs,fmNumFreeSlabs,fmMaxUnAllocatedSlabs,numCacheGet,numCacheGetMisses,allocSuccessRate,rebalanceNumRebalancedSlabs,getPerSec
6721e8db-4180-4fbd-957a-13a6a9a26dbe,256,free-mem,1,,,1.25,TINYLFU,,,,,,general,,,,,,,,,69392150,20008888,100.00,6,468425
52b57c43-b239-4044-97ca-7bc4a4b626e4,512,lru-tail,1,,,1.25,LRU,0.25,,,,,general,,,,,,,,,69392150,11152237,99.96,0,707467
6d9c9ceb-2c40-4761-b2a0-471a28f20a80,1024,lru-tail,1,,,1.25,LRU,0.25,,,,,general,,,,,,,,,69392150,7917195,99.94,0,826968
49ab84fa-649e-47b4-b4ce-2c616b74d84a,256,lru-tail,1,,,1.25,LRU,0.25,,,,,general,,,,,,,,,69392150,21341064,98.79,0,499306
709e4ea2-6136-498a-b725-280f411de873,1024,disabled,1,,,1.25,LRU2Q,0.1,,,,,general,,,,,,,,,69392150,7999593,99.94,0,820144
72a09170-a929-4e37-8941-a4eb80431de4,1024,free-mem,1,,,1.25,LRU,0.1,,,,,general,,,,,,,,,69392150,7917195,99.94,0,825128
7e38a47c-e977-49f1-993a-8a09032060ef,2048,lru-tail,1,,,1.25,LRU,0.25,,,,,general,,,,,,,,,69392150,6070999,99.92,0,896604
7bf91696-d918-4ef7-8b95-733a04c1c676,512,disabled,1,,,1.25,TINYLFU,0.1,,,,,general,,,,,,,,,69392150,10125528,99.95,0,722101
7986ee3d-e6d6-450c-a369-c78c4a4f0a51,2048,hits,1,,,1.25,LRU,0.1,,,,,general,,,,,,,,,69392150,6070999,99.92,0,899239
89461966-eb34-41ae-b000-c44000e31f4d,2048,default,1,,,1.25,TINYLFU,0.25,,,,,general,,,,,,,,,69392150,5808855,99.92,0,851798
90e11f79-9e20-4222-a466-ca302133eddd,512,default,1,,,1.25,LRU,0.25,,,,,general,,,,,,,,,69392150,11152237,99.96,0,725021
8700511a-8507-445a-95e1-91bd3fab591a,1024,hits,1,,,1.25,LRU,0.1,,,,,general,,,,,,,,,69392150,7917195,99.94,0,822228
882d58f3-628e-4e1b-9caa-1f12b5602fac,8192,lru-tail,1,,,1.25,LRU2Q,0.25,,,,,general,,,,,,,,,69392150,4210217,99.92,0,928918
8db50da9-3eca-426e-b0b7-df7539b0f72b,2048,default,1,,,1.25,LRU2Q,0.1,,,,,general,,,,,,,,,69392150,6105211,99.92,0,888451
a3cdd6d1-9b29-4605-a8ba-b145e50394e1,512,disabled,1,,,1.25,LRU,0.1,,,,,general,,,,,,,,,69392150,11152237,99.96,0,736247
99a9f126-efd2-4224-829d-016285c830bb,512,disabled,1,,,1.25,LRU2Q,0.25,,,,,general,,,,,,,,,69392150,11308481,99.96,0,710378
9aa460f8-0597-4477-bbeb-fd1c08dec8e0,256,free-mem,1,,,1.25,LRU,0.1,,,,,general,,,,,,,,,69392150,21341064,98.79,0,505106
c0d32903-5161-4738-a150-750869b53788,2048,free-mem,1,,,1.25,TINYLFU,0.25,,,,,general,,,,,,,,,69392150,5808855,99.92,0,841930
9e8256ee-017b-4015-98b9-006e2e909226,512,free-mem,1,,,1.25,LRU,0.1,,,,,general,,,,,,,,,69392150,11152237,99.96,0,716136
a8167f57-9899-4fdc-824e-4459c94a3657,2048,disabled,1,,,1.25,TINYLFU,0.25,,,,,general,,,,,,,,,69392150,5808855,99.92,0,839935
ab801d58-2b97-486c-8716-a5e054ffd264,512,hits,1,,,1.25,TINYLFU,0.1,,,,,general,,,,,,,,,69392150,10125528,99.95,0,721899
aeddfe31-48de-4f29-a60f-34bd535877c6,512,marginal-hits,1,,,1.25,LRU2Q,0.25,,,,,general,,,,,,,,,69392150,11308481,99.96,0,724009
ad2460e4-b03a-4866-9440-bfd4f12b65cb,1024,lru-tail,1,,,1.25,LRU2Q,0.25,,,,,general,,,,,,,,,69392150,7999593,99.94,0,827298
b53828e2-bcda-4092-9df3-eff494cc9b54,8192,free-mem,1,,,1.25,LRU2Q,0.25,,,,,general,,,,,,,,,69392150,4210381,99.92,0,934996
b6c1011f-0cdd-417b-b0de-d8b9602c57da,8192,hits,1,,,1.25,LRU,0.1,,,,,general,,,,,,,,,69392150,4176317,99.92,0,929994
bd8d6300-775c-481f-a48e-f6d98d2198de,1024,default,1,,,1.25,TINYLFU,0.25,,,,,general,,,,,,,,,69392150,7340283,99.94,0,791293
c1a928d2-7d8a-4074-900b-b1c53fd03bf5,1024,hits,1,,,1.25,TINYLFU,0.1,,,,,general,,,,,,,,,69392150,7340283,99.94,0,798599
c5ec84eb-23bf-4531-a8e9-af219bf04061,256,default,1,,,1.25,LRU,0.1,,,,,general,,,,,,,,,69392150,21341064,98.79,0,515730
d0f4edbd-73d3-47e9-8ef1-cb3b38c32c44,512,default,1,,,1.25,TINYLFU,0.25,,,,,general,,,,,,,,,69392150,10125528,99.95,0,701266
cd7c1e80-73c4-4213-a0a1-6dc2bcf671c8,2048,free-mem,1,,,1.25,LRU,0.1,,,,,general,,,,,,,,,69392150,6070999,99.92,0,874151
cfc2067d-6d31-4d3e-abf9-4db09b5dc927,8192,disabled,1,,,1.25,LRU2Q,0.25,,,,,general,,,,,,,,,69392150,4195541,99.92,0,527707
e70e3de1-00b1-462b-b29d-de959b923556,8192,free-mem,1,,,1.25,TINYLFU,0.25,,,,,general,,,,,,,,,69392150,4186978,99.92,0,899099
c288fcfd-4505-4a44-88e9-edbfea56886b,512,default,1,,,1.25,LRU2Q,0.25,,,,,general,,,,,,,,,69392150,11308481,99.96,0,725889
ce80176e-15c8-47ff-88de-13f79ab96f5a,256,disabled,1,,,1.25,TINYLFU,0.1,,,,,general,,,,,,,,,69392150,20153069,98.71,0,486147
e19532c7-48c5-4a68-899e-e467f8676902,2048,hits,1,,,1.25,TINYLFU,0.1,,,,,general,,,,,,,,,69392150,5808855,99.92,0,845787
f373896b-e3fa-498d-9daf-c430046e97f6,8192,marginal-hits,1,,,1.25,LRU2Q,0.1,,,,,general,,,,,,,,,69392150,4209931,99.92,0,917804
d9440cf4-d25e-48ad-8b0a-9462e67fd180,256,hits,1,,,1.25,LRU2Q,0.1,,,,,general,,,,,,,,,69392150,21578145,98.80,0,509669
d99cbe22-4d1d-48c8-b691-6e9c1bc382b3,512,hits,1,,,1.25,LRU,0.1,,,,,general,,,,,,,,,69392150,11152237,99.96,0,715956
e52c21a1-7e28-4e36-a7cb-2da682beb65e,256,free-mem,1,,,1.25,LRU2Q,0.25,,,,,general,,,,,,,,,69392150,21578145,98.80,0,496573
ec23f153-b398-41ea-8c6b-63a3c89712d9,2048,lru-tail,1,,,1.25,TINYLFU,0.25,,,,,general,,,,,,,,,69392150,5808885,99.92,0,861107
f07bcee2-1222-4270-8bb1-15ed06bba99a,256,default,1,,,1.25,TINYLFU,0.25,,,,,general,,,,,,,,,69392150,20153008,98.71,0,485596
edec47d0-8a24-47cd-9c44-c6de598ddd3b,1024,lru-tail,1,,,1.25,TINYLFU,0.25,,,,,general,,,,,,,,,69392150,7340283,99.94,0,805625
f9f7a512-1d16-42fd-9389-8031cabf4630,256,hits,1,,,1.25,TINYLFU,0.1,,,,,general,,,,,,,,,69392150,20153016,98.71,0,478467
faa084bf-2a16-4411-a726-e59884186184,8192,lru-tail,1,,,1.25,LRU,0.25,,,,,general,,,,,,,,,69392150,4176197,99.92,0,925948
ff317bbb-28d8-427a-8cb0-89269a9b1d06,256,disabled,1,,,1.25,LRU2Q,0.25,,,,,general,,,,,,,,,69392150,21578145,98.80,0,493749
