cacheSizeMB,rebalanceStrategy,allocator,numCacheGet,numCacheGetMisses,allocSuccessRate,rebalanceNumRebalancedSlabs,getPerSec,setPerSec
32768,hits,LRU,69392150,1699448,100.00,0,909590,22276
2048,random,TINYLFU,69392150,9470599,100.00,90,745213,101706
2048,hits,LRU2Q,69392150,3404076,100.00,79,850070,41700
16384,hits,TINYLFU,69392150,2045453,100.00,59,909740,26816
32768,hits,TINYLFU,69392150,1699448,100.00,0,872594,21370
1024,hits,TINYLFU,69392150,4730786,100.00,87,790796,53912
512,random,LRU,69392150,14419779,100.00,111,624258,129721
512,free-mem,TINYLFU,69392150,10126218,100.00,2,690096,100704
1024,marginal-hits,LRU2Q,69392150,8050928,100.00,85,801227,92959
32768,random,LRU2Q,69392150,1699448,100.00,0,905528,22176
32768,default,TINYLFU,69392150,1699448,100.00,0,883212,21630
32768,lru-tail,LRU2Q,69392150,1699448,100.00,0,887080,21725
16384,random,LRU2Q,69392150,4154331,100.00,61,889222,53235
8192,marginal-hits,LRU2Q,69392150,4306963,100.00,67,917929,56973
256,lru-tail,TINYLFU,69392150,26452345,100.00,170,418964,159709
8192,random,LRU,69392150,4580114,100.00,67,912576,60233
1024,random,LRU,69392150,8815743,100.00,85,801282,101796
65536,default,LRU,69392150,1699448,100.00,0,888998,21772
65536,free-mem,LRU,69392150,1699448,100.00,0,901168,22070
8192,lru-tail,TINYLFU,69392150,4677003,100.00,73,837319,56434
2048,default,LRU2Q,69392150,6107381,100.00,2,895032,78774
256,default,LRU,69392150,21215984,100.00,6,487305,148989
8192,hits,LRU,69392150,2249663,100.00,64,948340,30744
2048,default,TINYLFU,69392150,5809224,100.00,2,816234,68331
256,random,TINYLFU,69392150,29172502,100.00,183,387001,162695
65536,free-mem,LRU2Q,69392150,1699448,100.00,0,884348,21658
1024,random,TINYLFU,69392150,8327013,100.00,89,767235,92067
16384,lru-tail,LRU2Q,69392150,3503205,100.00,61,897347,45301
8192,lru-tail,LRU,69392150,4522757,100.00,68,899486,58625
8192,free-mem,LRU,69392150,4174204,100.00,1,911022,54801
32768,free-mem,TINYLFU,69392150,1699448,100.00,0,842344,20629
16384,default,TINYLFU,69392150,3571034,100.00,0,867899,44663
2048,free-mem,LRU,69392150,6070800,100.00,2,924078,80843
