trace_name,number_of_requests,number_of_objects,number_of_req_GiB,number_of_obj_GiB,compulsory_miss_ratio_req,compulsory_miss_ratio_byte,frequency_mean,time_span,zipf_slope,zipf_intercept,zipf_r2,wss
"synth_dynamic_3",21000000,1795548,1.369,0.0874,0.0855,0.0638,11.6956,604800,1.1019,-1,-1,1473.78
"synth_dynamic_4",21000000,1607932,2.7459,0.3312,0.0766,0.1206,13.0603,604800,1.1126,-1,-1,2876.21
"synth_static_1",21000000,1212405,14.1989,0.8199,0.0577,0.0577,17.3209,604800,1.0691,-1,-1,14588.2
"synth_static_2",21000000,1181849,12.53,0.7742,0.0563,0.0618,17.7688,604800,1.0811,-1,-1,12878.1
"synth_static_3",21000000,1181890,15.8679,0.8243,0.0563,0.0519,17.7682,604800,1.0808,-1,-1,16296.1
"synth_static_4",21000000,1291978,14.1989,0.8547,0.0615,0.0602,16.2541,604800,1.043,-1,-1,14591.4
"synth_static_5",21000000,2214371,7.6275,0.718,0.1054,0.0941,9.4835,604800,0.9769,-1,-1,7899.26
