rebalance_strategy,slab_count,request_id,distance_to_optimal_allocation
marginal-hits,64,9300000,7
marginal-hits,64,9350000,8
marginal-hits,64,9400000,7
marginal-hits,64,9450000,7
marginal-hits,64,9500000,6
marginal-hits,64,9550000,5
marginal-hits,64,9600000,4
marginal-hits,64,9650000,4
marginal-hits,64,9700000,5
marginal-hits,64,9750000,6
marginal-hits,64,9800000,5
marginal-hits,64,9850000,4
marginal-hits,64,9900000,3
marginal-hits,64,9950000,3
marginal-hits,64,10000000,3
marginal-hits,64,10050000,4
marginal-hits,64,10100000,3
marginal-hits,64,10150000,3
marginal-hits,64,10200000,4
marginal-hits,64,10250000,4
marginal-hits,64,10300000,4
marginal-hits,64,10350000,4
marginal-hits,64,10400000,5
marginal-hits,64,10450000,4
marginal-hits,64,10500000,3
marginal-hits,64,10550000,3
marginal-hits,64,10600000,2
marginal-hits,64,10650000,1
marginal-hits,64,10700000,2
marginal-hits,64,10750000,3
marginal-hits,64,10800000,3
marginal-hits,64,10850000,3
marginal-hits,64,10900000,3
marginal-hits,64,10950000,4
marginal-hits,64,11000000,4
marginal-hits,64,11050000,3
marginal-hits,64,11100000,2
marginal-hits,64,11150000,2
marginal-hits,64,11200000,3
marginal-hits,64,11250000,2
marginal-hits,64,11300000,2
marginal-hits,64,11350000,3
marginal-hits,64,11400000,4
marginal-hits,64,11450000,3
marginal-hits,64,11500000,3
marginal-hits,64,11550000,2
marginal-hits,64,11600000,3
marginal-hits,64,11650000,3
marginal-hits,64,11700000,3
marginal-hits,64,11750000,3
marginal-hits,64,11800000,3
marginal-hits,64,11850000,3
marginal-hits,64,11900000,2
marginal-hits,64,11950000,2
marginal-hits,64,12000000,3
marginal-hits,64,12050000,2
marginal-hits,64,12100000,2
marginal-hits,64,12150000,3
marginal-hits,64,12200000,3
marginal-hits,64,12250000,2
marginal-hits,64,12300000,2
marginal-hits,64,12350000,3
marginal-hits,64,12400000,3
marginal-hits,64,12450000,4
marginal-hits,64,12500000,3
marginal-hits,64,12550000,2
marginal-hits,64,12600000,3
marginal-hits,64,12650000,2
marginal-hits,64,12700000,1
marginal-hits,64,12750000,2
marginal-hits,64,12800000,1
marginal-hits,64,12850000,2
marginal-hits,64,12900000,3
marginal-hits,64,12950000,3
marginal-hits,64,13000000,4
marginal-hits,64,13050000,3
marginal-hits,64,13100000,4
marginal-hits,64,13150000,4
marginal-hits,64,13200000,3
marginal-hits,64,13250000,2
marginal-hits,64,13300000,3
marginal-hits,64,13350000,4
marginal-hits,64,13400000,3
marginal-hits,64,13450000,3
marginal-hits,64,13500000,3
marginal-hits,64,13550000,3
marginal-hits,64,13600000,2
marginal-hits,64,13650000,2
marginal-hits,64,13700000,2
