rebalance_strategy,slab_count,miss_ratio,request_id,distance_to_optimal_allocation
disabled,256,0.26949,36100000,85
disabled,256,0.26857,32400000,85
disabled,256,0.26824,18700000,85
disabled,256,0.26843,64200000,85
disabled,256,0.26627,64400000,85
disabled,256,0.26948,73000000,85
disabled,256,0.2699,79000000,85
disabled,256,0.26768,40700000,85
disabled,256,0.26615,6700000,85
disabled,256,0.26805,4200000,85
disabled,256,0.26685,16900000,85
disabled,256,0.26841,50400000,85
disabled,256,0.26693,41600000,85
disabled,256,0.26646,38900000,85
disabled,256,0.2688,37800000,85
disabled,256,0.26721,29200000,85
disabled,256,0.26926,29100000,85
disabled,256,0.26682,10300000,85
disabled,256,0.269,5700000,85
disabled,256,0.26766,54100000,85
disabled,256,0.2661,45100000,85
disabled,256,0.26767,43900000,85
disabled,256,0.26921,33100000,85
disabled,256,0.26905,63100000,85
disabled,256,0.2674,53900000,85
disabled,256,0.26798,50700000,85
disabled,256,0.46561,900000,85
disabled,256,0.26686,18900000,85
disabled,256,0.26718,21200000,85
disabled,256,0.27075,21300000,85
disabled,256,0.26877,57100000,85
disabled,256,0.26696,55900000,85
disabled,256,0.26765,56900000,85
disabled,256,0.26705,70100000,85
disabled,256,0.26502,79900000,85
disabled,256,0.26804,37300000,85
disabled,256,0.26653,53800000,85
disabled,256,0.26973,51200000,85
disabled,256,0.2689,45700000,85
disabled,256,0.26696,27800000,85
disabled,256,0.26651,26000000,85
disabled,256,0.27067,19100000,85
disabled,256,0.26902,21800000,85
disabled,256,0.26751,61700000,85
disabled,256,0.26704,51500000,85
disabled,256,0.26657,38000000,85
disabled,256,0.2681,29800000,85
disabled,256,0.27104,4000000,85
disabled,256,0.26888,4300000,85
disabled,256,0.26841,20200000,85
disabled,256,0.26734,22700000,85
disabled,256,0.26932,65400000,85
disabled,256,0.26869,10700000,85
disabled,256,0.28268,2700000,85
disabled,256,0.26988,15100000,85
disabled,256,0.26834,15400000,85
disabled,256,0.26748,19000000,85
disabled,256,0.26648,73200000,85
disabled,256,0.26922,76700000,85
disabled,256,0.26827,78700000,85
disabled,256,0.26918,79700000,85
disabled,256,0.26763,31600000,85
disabled,256,0.26768,49100000,85
disabled,256,0.26729,42100000,85
disabled,256,0.26945,47300000,85
disabled,256,0.26702,27200000,85
disabled,256,0.26917,11900000,85
disabled,256,0.27003,25600000,85
disabled,256,0.26784,32600000,85
disabled,256,0.26634,6400000,85
disabled,256,0.26776,23400000,85
disabled,256,0.26625,59000000,85
disabled,256,0.26731,62100000,85
disabled,256,0.26937,68900000,85
disabled,256,0.26673,13900000,85
disabled,256,0.2679,17800000,85
disabled,256,0.26791,52900000,85
disabled,256,0.26741,43500000,85
disabled,256,0.2693,3000000,85
disabled,256,0.26894,19200000,85
disabled,256,0.26766,45500000,85
disabled,256,0.26902,4800000,85
disabled,256,0.26903,19600000,85
disabled,256,0.26735,72000000,85
disabled,256,0.26718,75200000,85
disabled,256,0.26809,48400000,85
disabled,256,0.26914,44500000,85
disabled,256,0.26614,34500000,85
disabled,256,0.26662,65100000,85
disabled,256,0.26691,73300000,85
disabled,256,0.26933,79500000,85
disabled,256,0.26623,61200000,85
disabled,256,0.2673,50000000,85
disabled,256,0.26725,36300000,85
disabled,256,0.2688,7900000,85
disabled,256,0.26635,5100000,85
disabled,256,0.26937,74200000,85
disabled,256,0.26527,49300000,85
disabled,256,0.26888,46900000,85
disabled,256,0.26924,6500000,85
disabled,256,0.28756,2600000,85
disabled,256,0.26705,64600000,85
disabled,256,0.26854,53500000,85
disabled,256,0.26722,52800000,85
disabled,256,0.26834,52400000,85
disabled,256,0.26837,51900000,85
disabled,256,0.2706,41500000,85
disabled,256,0.26956,38200000,85
disabled,256,0.26643,31800000,85
disabled,256,0.26798,29300000,85
disabled,256,0.2663,26900000,85
disabled,256,0.2682,69600000,85
disabled,256,0.26846,62800000,85
disabled,256,0.26782,51400000,85
disabled,256,0.26786,7000000,85
disabled,256,0.26827,3600000,85
disabled,256,0.26672,14200000,85
disabled,256,0.26779,55000000,85
disabled,256,0.26881,74500000,85
disabled,256,0.26696,50600000,85
disabled,256,0.26906,30100000,85
disabled,256,0.26948,56300000,85
disabled,256,0.26725,37900000,85
disabled,256,0.26902,12000000,85
disabled,256,0.26857,6900000,85
disabled,256,0.26892,58100000,85
disabled,256,0.26795,58600000,85
disabled,256,0.26964,60300000,85
disabled,256,0.26871,43200000,85
disabled,256,0.26646,10000000,85
disabled,256,0.26835,3900000,85
disabled,256,0.26728,25200000,85
disabled,256,0.26761,56600000,85
disabled,256,0.2714,59700000,85
disabled,256,0.26786,39600000,85
disabled,256,0.26933,5200000,85
disabled,256,0.26745,59100000,85
disabled,256,0.27131,59300000,85
disabled,256,0.26876,66200000,85
disabled,256,0.26992,68400000,85
disabled,256,0.27005,71700000,85
disabled,256,0.26828,72700000,85
disabled,256,0.26758,74100000,85
disabled,256,0.27101,62700000,85
disabled,256,0.26749,17900000,85
disabled,256,0.26989,35100000,85
disabled,256,0.26788,43000000,85
disabled,256,0.268,22500000,85
disabled,256,0.27046,60500000,85
disabled,256,0.26922,70900000,85
disabled,256,0.26889,76400000,85
disabled,256,0.26799,36200000,85
disabled,256,0.268,32500000,85
disabled,256,0.26899,26200000,85
disabled,256,0.26969,61300000,85
disabled,256,0.26869,76300000,85
disabled,256,0.26873,46700000,85
disabled,256,0.26608,36800000,85
disabled,256,0.26793,33400000,85
disabled,256,0.26964,13400000,85
disabled,256,0.26599,17600000,85
disabled,256,0.2671,69400000,85
disabled,256,0.26869,47100000,85
disabled,256,0.26964,42000000,85
disabled,256,0.27109,37400000,85
disabled,256,0.26782,28700000,85
disabled,256,0.26932,12100000,85
disabled,256,0.26892,9900000,85
disabled,256,0.2682,13300000,85
disabled,256,0.26539,21700000,85
disabled,256,0.26608,78200000,85
disabled,256,0.26714,53200000,85
disabled,256,0.26626,52600000,85
disabled,256,0.26805,32100000,85
disabled,256,0.26785,31500000,85
disabled,256,0.26809,14700000,85
disabled,256,0.2671,15900000,85
disabled,256,0.26865,66500000,85
disabled,256,0.26586,37600000,85
disabled,256,0.26497,61400000,85
disabled,256,0.26895,61900000,85
disabled,256,0.26733,65900000,85
disabled,256,0.26751,3100000,85
disabled,256,0.2674,17000000,85
disabled,256,0.26862,18000000,85
disabled,256,0.27049,58900000,85
disabled,256,0.26987,70500000,85
disabled,256,0.26706,70800000,85
disabled,256,0.26888,16000000,85
disabled,256,0.2681,13700000,85
disabled,256,0.26702,44700000,85
disabled,256,0.26526,39500000,85
disabled,256,0.26888,40000000,85
disabled,256,0.26795,38800000,85
disabled,256,0.27014,35500000,85
disabled,256,0.26845,27300000,85
disabled,256,0.26737,3700000,85
disabled,256,0.26937,12800000,85
disabled,256,0.26768,14600000,85
disabled,256,0.27027,74400000,85
disabled,256,0.26704,72200000,85
disabled,256,0.26658,46600000,85
disabled,256,0.26541,46500000,85
disabled,256,0.26664,36700000,85
disabled,256,0.26865,32000000,85
disabled,256,0.26753,63200000,85
disabled,256,0.26678,68800000,85
disabled,256,0.26824,9400000,85
disabled,256,0.34461,1900000,85
disabled,256,0.48278,800000,85
disabled,256,0.26899,4400000,85
disabled,256,0.26516,16400000,85
disabled,256,0.26484,68300000,85
disabled,256,0.26795,73600000,85
disabled,256,0.26816,75000000,85
disabled,256,0.26819,76500000,85
disabled,256,0.26934,34000000,85
disabled,256,0.27048,49200000,85
disabled,256,0.26846,31200000,85
disabled,256,0.26805,25000000,85
disabled,256,0.26681,25100000,85
disabled,256,0.26711,28400000,85
disabled,256,0.27633,2800000,85
disabled,256,0.50235,700000,85
disabled,256,0.26865,13800000,85
disabled,256,0.26711,22600000,85
disabled,256,0.26717,23500000,85
disabled,256,0.26799,42300000,85
disabled,256,0.2688,40200000,85
disabled,256,0.54456,500000,85
disabled,256,0.26872,17500000,85
disabled,256,0.2682,23100000,85
disabled,256,0.26912,55700000,85
disabled,256,0.26955,65200000,85
disabled,256,0.26998,77600000,85
disabled,256,0.26978,12200000,85
disabled,256,0.26698,41100000,85
disabled,256,0.26823,44200000,85
disabled,256,0.26846,33200000,85
disabled,256,0.26716,30500000,85
disabled,256,0.32603,2100000,85
disabled,256,0.26843,56800000,85
disabled,256,0.26528,59600000,85
disabled,256,0.27013,67700000,85
disabled,256,0.26874,73400000,85
disabled,256,0.2671,41400000,85
disabled,256,0.26773,39800000,85
disabled,256,0.2687,34800000,85
disabled,256,0.26759,25900000,85
disabled,256,0.26927,18100000,85
disabled,256,0.26734,64700000,85
disabled,256,0.26911,48200000,85
disabled,256,0.26921,12900000,85
disabled,256,0.2697,30800000,85
disabled,256,0.26808,8500000,85
disabled,256,0.26771,8000000,85
disabled,256,0.26841,50300000,85
disabled,256,0.26753,45900000,85
disabled,256,0.26711,17700000,85
disabled,256,0.27029,24100000,85
disabled,256,0.26957,66700000,85
disabled,256,0.269,35700000,85
disabled,256,0.26618,6600000,85
disabled,256,0.26844,16600000,85
disabled,256,0.26887,34600000,85
disabled,256,0.26835,28800000,85
disabled,256,0.2692,20500000,85
disabled,256,0.26972,20800000,85
disabled,256,0.26891,24000000,85
disabled,256,0.26723,56000000,85
disabled,256,0.26713,66600000,85
disabled,256,0.26984,72600000,85
disabled,256,0.26658,40300000,85
disabled,256,0.26939,7700000,85
disabled,256,0.26729,7500000,85
disabled,256,0.26777,21600000,85
disabled,256,0.26727,74700000,85
disabled,256,0.2712,28000000,85
disabled,256,0.26949,8600000,85
disabled,256,0.26735,24500000,85
disabled,256,0.27053,77500000,85
disabled,256,0.26914,50900000,85
disabled,256,0.26763,45300000,85
disabled,256,0.26719,56500000,85
disabled,256,0.2675,58500000,85
disabled,256,0.26867,75500000,85
disabled,256,0.26744,78500000,85
disabled,256,0.26803,23700000,85
disabled,256,0.26707,24400000,85
disabled,256,0.26739,54000000,85
disabled,256,0.26912,40100000,85
disabled,256,0.26901,7200000,85
disabled,256,0.26901,16200000,85
disabled,256,0.26625,63300000,85
disabled,256,0.26675,75600000,85
disabled,256,0.26891,47600000,85
disabled,256,0.26675,26600000,85
disabled,256,0.26768,7300000,85
disabled,256,0.26769,15300000,85
disabled,256,0.26941,21400000,85
disabled,256,0.26828,57800000,85
disabled,256,0.26982,33500000,85
disabled,256,0.27006,56400000,85
disabled,256,0.26928,66000000,85
disabled,256,0.26654,71300000,85
disabled,256,0.26745,13200000,85
disabled,256,0.26906,30900000,85
disabled,256,0.26895,10500000,85
disabled,256,0.2691,7400000,85
disabled,256,0.26865,22000000,85
disabled,256,0.26959,55200000,85
disabled,256,0.26766,50200000,85
disabled,256,0.26802,42500000,85
disabled,256,0.52124,600000,85
disabled,256,0.26796,3300000,85
disabled,256,0.26753,4600000,85
disabled,256,0.26735,21000000,85
disabled,256,0.26629,54400000,85
disabled,256,0.26691,58200000,85
disabled,256,0.26646,49500000,85
disabled,256,0.2679,10100000,85
disabled,256,0.26839,9800000,85
disabled,256,0.26753,9700000,85
disabled,256,0.26971,16800000,85
disabled,256,0.26814,19500000,85
