1024,2048,256,512,4096,total_slab_cnt,total_miss_ratio
75,18,52,17,11,173,0.329240375
75,18,53,17,11,174,0.3273688125
75,19,53,17,11,175,0.3255050125
75,19,54,17,11,176,0.32364225
76,19,54,17,11,177,0.321780975
76,19,54,18,11,178,0.3199202625
76,19,54,18,12,179,0.3180674375
77,19,54,18,12,180,0.3162152875
77,19,55,18,12,181,0.3143661125
77,19,56,18,12,182,0.312514825
78,19,56,18,12,183,0.3106778625
78,19,57,18,12,184,0.3088417875
79,19,57,18,12,185,0.3070094625
79,19,58,18,12,186,0.305180925
80,19,58,18,12,187,0.30336045
81,19,58,18,12,188,0.3015392875
81,19,59,18,12,189,0.2997190125
81,19,60,18,12,190,0.2979070625
82,19,60,18,12,191,0.2961021875
82,20,60,18,12,192,0.294302475
82,20,61,18,12,193,0.2925073
83,20,61,18,12,194,0.2907168875
83,20,62,18,12,195,0.2889336375
85,20,61,18,12,196,0.2871472375
85,20,62,18,12,197,0.2853639875
85,20,63,18,12,198,0.2835780625
85,20,64,18,12,199,0.2818056125
85,20,64,19,12,200,0.280034375
85,20,65,19,12,201,0.278267175
87,20,64,19,12,202,0.276501575
87,20,65,19,12,203,0.274734375
88,20,65,19,12,204,0.2729784
88,20,66,19,12,205,0.2712308875
89,20,66,19,12,206,0.26948715
89,20,67,19,12,207,0.2677478625
89,21,67,19,12,208,0.26601715
89,21,68,19,12,209,0.264288325
89,21,68,19,13,210,0.2625630625
90,21,68,19,13,211,0.260840375
90,21,69,19,13,212,0.259125725
90,21,69,20,13,213,0.2574144
91,21,69,20,13,214,0.2557043125
92,21,69,20,13,215,0.2539966125
92,21,70,20,13,216,0.2522964375
92,21,71,20,13,217,0.250607175
92,21,72,20,13,218,0.2489291375
93,21,72,20,13,219,0.2472617
93,22,72,20,13,220,0.2455948
93,22,73,20,13,221,0.2439299625
93,22,74,20,13,222,0.2422682875
94,22,74,20,13,223,0.2406151
94,22,74,21,13,224,0.2389686375
94,22,75,21,13,225,0.237331375
95,22,75,21,13,226,0.235695775
95,22,76,21,13,227,0.2340773375
95,22,77,21,13,228,0.2324620875
95,23,77,21,13,229,0.2308541875
95,23,78,21,13,230,0.229251125
95,23,78,21,14,231,0.227652325
96,23,78,21,14,232,0.2260579
96,23,78,22,14,233,0.2244675625
96,23,79,22,14,234,0.2228787
96,23,80,22,14,235,0.22131325
96,24,80,22,14,236,0.2197540125
96,24,81,22,14,237,0.2182062375
97,24,81,22,14,238,0.216666975
97,24,82,22,14,239,0.21513275
97,24,82,23,14,240,0.2136091
97,24,83,23,14,241,0.2120909
97,25,83,23,14,242,0.2105728125
97,25,84,23,14,243,0.2090730875
97,25,84,23,15,244,0.2075801
97,25,84,24,15,245,0.2060949625
97,25,85,24,15,246,0.2046186625
97,26,85,24,15,247,0.203160525
97,26,86,24,15,248,0.2017121375
97,26,86,25,15,249,0.2002833
97,26,87,25,15,250,0.19885545
97,27,87,25,15,251,0.1974301875
97,27,88,25,15,252,0.196016725
97,27,88,25,16,253,0.1946125875
97,28,88,25,16,254,0.1932250625
97,28,88,26,16,255,0.191842125
97,28,89,26,16,256,0.190461575
97,28,90,26,16,257,0.1891078375
97,29,90,26,16,258,0.1877601375
97,29,90,27,16,259,0.186417975
97,29,90,27,17,260,0.1850965875
97,29,91,27,17,261,0.183777175
97,30,91,27,17,262,0.1824688375
97,30,91,28,17,263,0.181162825
97,31,91,28,17,264,0.1798763875
97,31,92,28,17,265,0.1785983375
97,31,92,29,17,266,0.1773372
97,31,92,29,18,267,0.1760819
97,32,92,29,18,268,0.1748369375
97,32,93,29,18,269,0.173600875
97,32,93,30,18,270,0.1723670125
97,33,93,30,18,271,0.17114815
97,33,93,31,18,272,0.1699432
97,34,93,31,18,273,0.168747825
97,34,93,31,19,274,0.1675556625
97,34,94,31,19,275,0.1663736375
97,34,94,32,19,276,0.165201975
97,35,94,32,19,277,0.164036175
97,36,94,32,19,278,0.1628885125
97,36,94,33,19,279,0.16174315
97,36,94,33,20,280,0.1606154125
97,37,94,33,20,281,0.1594955
97,37,95,33,20,282,0.1583805375
97,37,95,34,20,283,0.157265975
97,38,95,34,20,284,0.156173575
97,38,95,35,20,285,0.155086775
97,38,95,35,21,286,0.1540107875
97,39,95,35,21,287,0.15293855
97,39,95,36,21,288,0.151880825
97,40,95,36,21,289,0.150832725
97,40,95,37,21,290,0.1497941625
97,40,95,37,22,291,0.148758675
97,41,95,37,22,292,0.14772615
97,41,96,37,22,293,0.14670205
97,42,96,37,22,294,0.1456875375
97,42,96,38,22,295,0.1446736375
97,42,96,38,23,296,0.143677925
97,43,96,38,23,297,0.142684475
97,43,96,39,23,298,0.1416911625
97,43,96,40,23,299,0.1407199875
97,44,96,40,23,300,0.139749075
97,45,96,40,23,301,0.138791925
97,45,96,41,23,302,0.137839175
97,45,96,41,24,303,0.136889975
97,46,96,41,24,304,0.13594795
98,46,96,41,24,305,0.1350144625
98,46,96,42,24,306,0.13408575
98,47,96,42,24,307,0.133159825
98,47,96,42,25,308,0.1322443
98,48,96,42,25,309,0.1313332
98,48,96,43,25,310,0.1304256875
98,48,96,44,25,311,0.1295331375
98,49,96,44,25,312,0.1286427875
98,49,96,44,26,313,0.12775815
98,49,97,44,26,314,0.12687925
98,50,97,44,26,315,0.1260029625
98,50,97,45,26,316,0.1251278
98,51,97,45,26,317,0.1242658875
98,51,97,45,27,318,0.123407125
98,51,97,46,27,319,0.1225524125
98,52,97,46,27,320,0.1217015
98,52,97,47,27,321,0.1208574
98,53,97,47,27,322,0.1200173625
98,54,97,47,27,323,0.1191923625
98,54,97,48,27,324,0.1183684625
98,54,97,48,28,325,0.1175511125
98,55,97,48,28,326,0.116736575
98,55,97,49,28,327,0.1159271875
98,55,97,49,29,328,0.115123325
98,56,97,49,29,329,0.1143233375
98,57,97,49,29,330,0.11353115
98,57,97,50,29,331,0.1127422875
98,58,97,50,29,332,0.11196495
98,58,97,51,29,333,0.1111878
98,58,97,51,30,334,0.1104163375
98,58,97,52,30,335,0.1096487625
98,59,97,52,30,336,0.1088821875
98,60,97,52,30,337,0.1081333625
98,61,97,52,30,338,0.1073849375
98,61,97,52,31,339,0.106636975
98,61,97,53,31,340,0.105893175
98,61,97,54,31,341,0.1051578625
98,62,97,54,31,342,0.1044288625
98,62,97,54,32,343,0.1037038125
98,62,97,55,32,344,0.1029815875
98,63,97,55,32,345,0.1022615875
98,64,97,55,32,346,0.1015433375
98,64,97,55,33,347,0.1008341875
98,64,97,56,33,348,0.1001278
98,65,97,56,33,349,0.09942845
98,66,97,56,33,350,0.0987346375
98,66,97,57,33,351,0.0980409625
98,66,97,57,34,352,0.0973524625
98,67,97,57,34,353,0.096670125
98,67,97,58,34,354,0.0959888375
98,68,97,58,34,355,0.0953145875
98,68,97,58,35,356,0.094644175
