rebalance_strategy,slab_count,request_id,rebalance_interval,prev_distance_to_optimal_allocation,distance_to_optimal_allocation,improvement
marginal-hits-interval-1k,256,2978000,1000,79,80,False
marginal-hits-interval-1k,256,2979000,1000,80,79,True
marginal-hits-interval-1k,256,2980000,1000,79,80,False
marginal-hits-interval-1k,256,2981000,1000,80,79,True
marginal-hits-interval-1k,256,2982000,1000,79,80,False
marginal-hits-interval-1k,256,2983000,1000,80,80,False
marginal-hits-interval-1k,256,2985000,1000,80,80,False
marginal-hits-interval-1k,256,2986000,1000,80,79,True
marginal-hits-interval-1k,256,2987000,1000,79,80,False
marginal-hits-interval-1k,256,2988000,1000,80,79,True
marginal-hits-interval-1k,256,2989000,1000,79,80,False
marginal-hits-interval-1k,256,2990000,1000,80,79,True
marginal-hits-interval-1k,256,2991000,1000,79,80,False
marginal-hits-interval-1k,256,2992000,1000,80,79,True
marginal-hits-interval-1k,256,2993000,1000,79,79,False
marginal-hits-interval-1k,256,2994000,1000,79,78,True
marginal-hits-interval-1k,256,2995000,1000,78,79,False
marginal-hits-interval-1k,256,2996000,1000,79,79,False
marginal-hits-interval-1k,256,2997000,1000,79,78,True
marginal-hits-interval-1k,256,2998000,1000,78,78,False
marginal-hits-interval-1k,256,2999000,1000,78,79,False
marginal-hits-interval-1k,256,3000000,1000,79,78,True
marginal-hits-interval-1k,256,3001000,1000,78,79,False
marginal-hits-interval-1k,256,3002000,1000,79,78,True
marginal-hits-interval-1k,256,3003000,1000,78,79,False
marginal-hits-interval-1k,256,3005000,1000,79,79,False
marginal-hits-interval-1k,256,3006000,1000,79,79,False
marginal-hits-interval-1k,256,3008000,1000,79,78,True
marginal-hits-interval-1k,256,3010000,1000,78,79,False
marginal-hits-interval-1k,256,3011000,1000,79,79,False
marginal-hits-interval-1k,256,3012000,1000,79,79,False
marginal-hits-interval-1k,256,3013000,1000,79,78,True
marginal-hits-interval-1k,256,3014000,1000,78,78,False
marginal-hits-interval-1k,256,3015000,1000,78,78,False
marginal-hits-interval-1k,256,3016000,1000,78,79,False
marginal-hits-interval-1k,256,3017000,1000,79,78,True
marginal-hits-interval-1k,256,3018000,1000,78,79,False
marginal-hits-interval-1k,256,3019000,1000,79,78,True
marginal-hits-interval-1k,256,3020000,1000,78,79,False
marginal-hits-interval-1k,256,3021000,1000,79,79,False
marginal-hits-interval-1k,256,3022000,1000,79,78,True
marginal-hits-interval-1k,256,3023000,1000,78,77,True
marginal-hits-interval-1k,256,3024000,1000,77,77,False
marginal-hits-interval-1k,256,3025000,1000,77,78,False
marginal-hits-interval-1k,256,3026000,1000,78,78,False
marginal-hits-interval-1k,256,3027000,1000,78,79,False
marginal-hits-interval-1k,256,3028000,1000,79,78,True
marginal-hits-interval-1k,256,3029000,1000,78,79,False
marginal-hits-interval-1k,256,3030000,1000,79,78,True
marginal-hits-interval-1k,256,3031000,1000,78,79,False
marginal-hits-interval-1k,256,3032000,1000,79,79,False
marginal-hits-interval-1k,256,3033000,1000,79,79,False
marginal-hits-interval-1k,256,3034000,1000,79,78,True
marginal-hits-interval-1k,256,3035000,1000,78,78,False
marginal-hits-interval-1k,256,3037000,1000,78,78,False
marginal-hits-interval-1k,256,3038000,1000,78,78,False
marginal-hits-interval-1k,256,3039000,1000,78,78,False
marginal-hits-interval-1k,256,3040000,1000,78,79,False
marginal-hits-interval-1k,256,3041000,1000,79,78,True
marginal-hits-interval-1k,256,3045000,1000,78,79,False
marginal-hits-interval-1k,256,3047000,1000,79,78,True
marginal-hits-interval-1k,256,3049000,1000,78,79,False
marginal-hits-interval-1k,256,3050000,1000,79,79,False
marginal-hits-interval-1k,256,3051000,1000,79,79,False
marginal-hits-interval-1k,256,3052000,1000,79,78,True
marginal-hits-interval-1k,256,3053000,1000,78,78,False
marginal-hits-interval-1k,256,3054000,1000,78,79,False
marginal-hits-interval-1k,256,3055000,1000,79,78,True
marginal-hits-interval-1k,256,3058000,1000,78,79,False
marginal-hits-interval-1k,256,3059000,1000,79,79,False
marginal-hits-interval-1k,256,3060000,1000,79,78,True
marginal-hits-interval-1k,256,3064000,1000,78,78,False
marginal-hits-interval-1k,256,3065000,1000,78,79,False
marginal-hits-interval-1k,256,3066000,1000,79,78,True
marginal-hits-interval-1k,256,3067000,1000,78,79,False
marginal-hits-interval-1k,256,3068000,1000,79,79,False
marginal-hits-interval-1k,256,3069000,1000,79,79,False
marginal-hits-interval-1k,256,3070000,1000,79,78,True
marginal-hits-interval-1k,256,3071000,1000,78,79,False
marginal-hits-interval-1k,256,3072000,1000,79,78,True
marginal-hits-interval-1k,256,3074000,1000,78,79,False
marginal-hits-interval-1k,256,3075000,1000,79,78,True
marginal-hits-interval-1k,256,3076000,1000,78,79,False
marginal-hits-interval-1k,256,3077000,1000,79,78,True
marginal-hits-interval-1k,256,3078000,1000,78,78,False
marginal-hits-interval-1k,256,3079000,1000,78,79,False
marginal-hits-interval-1k,256,3080000,1000,79,78,True
marginal-hits-interval-1k,256,3081000,1000,78,78,False
marginal-hits-interval-1k,256,3082000,1000,78,78,False
marginal-hits-interval-1k,256,3085000,1000,78,78,False
marginal-hits-interval-1k,256,3086000,1000,78,79,False
marginal-hits-interval-1k,256,3087000,1000,79,78,True
marginal-hits-interval-1k,256,3088000,1000,78,78,False
marginal-hits-interval-1k,256,3090000,1000,78,79,False
marginal-hits-interval-1k,256,3091000,1000,79,78,True
marginal-hits-interval-1k,256,3092000,1000,78,79,False
marginal-hits-interval-1k,256,3093000,1000,79,79,False
marginal-hits-interval-1k,256,3094000,1000,79,78,True
marginal-hits-interval-1k,256,3096000,1000,78,78,False
marginal-hits-interval-1k,256,3097000,1000,78,78,False
marginal-hits-interval-1k,256,3099000,1000,78,79,False
marginal-hits-interval-1k,256,3100000,1000,79,78,True
marginal-hits-interval-1k,256,3102000,1000,78,79,False
marginal-hits-interval-1k,256,3103000,1000,79,78,True
marginal-hits-interval-1k,256,3104000,1000,78,78,False
marginal-hits-interval-1k,256,3105000,1000,78,78,False
marginal-hits-interval-1k,256,3106000,1000,78,79,False
marginal-hits-interval-1k,256,3107000,1000,79,78,True
marginal-hits-interval-1k,256,3108000,1000,78,79,False
marginal-hits-interval-1k,256,3109000,1000,79,78,True
marginal-hits-interval-1k,256,3113000,1000,78,79,False
marginal-hits-interval-1k,256,3114000,1000,79,78,True
marginal-hits-interval-1k,256,3115000,1000,78,77,True
marginal-hits-interval-1k,256,3117000,1000,77,77,False
marginal-hits-interval-1k,256,3119000,1000,77,77,False
marginal-hits-interval-1k,256,3123000,1000,77,78,False
marginal-hits-interval-1k,256,3124000,1000,78,77,True
marginal-hits-interval-1k,256,3126000,1000,77,78,False
marginal-hits-interval-1k,256,3128000,1000,78,77,True
marginal-hits-interval-1k,256,3129000,1000,77,78,False
marginal-hits-interval-1k,256,3130000,1000,78,77,True
marginal-hits-interval-1k,256,3131000,1000,77,78,False
marginal-hits-interval-1k,256,3132000,1000,78,77,True
marginal-hits-interval-1k,256,3133000,1000,77,78,False
marginal-hits-interval-1k,256,3134000,1000,78,77,True
marginal-hits-interval-1k,256,3135000,1000,77,78,False
marginal-hits-interval-1k,256,3136000,1000,78,77,True
marginal-hits-interval-1k,256,3137000,1000,77,78,False
marginal-hits-interval-1k,256,3138000,1000,78,77,True
marginal-hits-interval-1k,256,3139000,1000,77,77,False
marginal-hits-interval-1k,256,3140000,1000,77,78,False
marginal-hits-interval-1k,256,3141000,1000,78,77,True
marginal-hits-interval-1k,256,3142000,1000,77,78,False
marginal-hits-interval-1k,256,3143000,1000,78,77,True
marginal-hits-interval-1k,256,3145000,1000,77,78,False
marginal-hits-interval-1k,256,3146000,1000,78,77,True
marginal-hits-interval-1k,256,3147000,1000,77,77,False
marginal-hits-interval-1k,256,3149000,1000,77,78,False
marginal-hits-interval-1k,256,3150000,1000,78,78,False
marginal-hits-interval-1k,256,3151000,1000,78,78,False
marginal-hits-interval-1k,256,3152000,1000,78,77,True
marginal-hits-interval-1k,256,3153000,1000,77,77,False
