rebalance_strategy,all_slabs_allocated_req_id,total_slab_cnt
free-mem,200000,32
free-mem,1000000,128
free-mem,2900000,256
marginal-hits,2900000,256
marginal-hits,1000000,128
disabled,400000,64
marginal-hits,200000,32
hits,200000,32
disabled,2900000,256
disabled,200000,32
free-mem,400000,64
marginal-hits,400000,64
hits,1000000,128
hits,2900000,256
tail-age,2900000,256
tail-age,400000,64
tail-age,200000,32
disabled,1000000,128
tail-age,1000000,128
hits,400000,64
