rebalance_strategy,slab_cnt,rebalance_interval,miss_ratio,rebalanced_slabs
marginal-hits,128,640000,0.4205043625,122
hits,128,270000,0.4878862625,43
free-mem,128,810000,0.4520975,0
hits,128,640000,0.48259505,43
hits,256,50000,0.35153765,67
tail-age,256,810000,0.2734423125,0
marginal-hits,128,230000,0.4182792625,343
hits,128,890000,0.4788429875,43
hits,256,480000,0.3365089125,65
hits,128,900000,0.4786960125,43
free-mem,256,620000,0.2734423125,0
hits,256,460000,0.3360320125,64
marginal-hits,256,910000,0.2196231875,83
marginal-hits,256,930000,0.2205231125,82
marginal-hits,128,700000,0.42098585,112
free-mem,128,440000,0.4520975,0
tail-age,256,670000,0.2734423125,0
marginal-hits,128,900000,0.422492775,86
free-mem,128,190000,0.4520975,0
tail-age,128,760000,0.4520975,0
free-mem,256,180000,0.2734423125,0
tail-age,256,200000,0.2734423125,0
marginal-hits,256,190000,0.191118575,406
free-mem,128,850000,0.4520975,0
free-mem,256,670000,0.2734423125,0
hits,128,650000,0.482443725,43
hits,256,670000,0.32788775,64
hits,256,10000,0.3528759625,67
hits,256,850000,0.320959975,64
marginal-hits,256,610000,0.206895975,126
free-mem,128,170000,0.4520975,0
marginal-hits,256,160000,0.190587425,481
tail-age,256,50000,0.2734423125,0
free-mem,256,660000,0.2734423125,0
free-mem,256,400000,0.2734423125,0
tail-age,128,270000,0.4520975,0
tail-age,128,190000,0.4520975,0
tail-age,128,330000,0.4520975,0
free-mem,256,1000000,0.2734423125,0
free-mem,256,790000,0.2734423125,0
free-mem,128,790000,0.4520975,0
marginal-hits,128,420000,0.419193025,187
hits,128,1000000,0.4776717875,43
free-mem,128,820000,0.4520975,0
free-mem,128,30000,0.4520975,0
hits,256,290000,0.3440748,65
hits,256,530000,0.3333938875,64
tail-age,128,230000,0.4520975,0
tail-age,256,750000,0.2734423125,0
marginal-hits,128,850000,0.42212825,92
hits,128,830000,0.4797475875,43
marginal-hits,256,260000,0.193338575,296
tail-age,256,270000,0.2734423125,0
free-mem,256,70000,0.2734423125,0
marginal-hits,128,560000,0.4199259875,140
tail-age,128,680000,0.4520975,0
marginal-hits,128,690000,0.4209063125,113
tail-age,128,140000,0.4520975,0
free-mem,128,470000,0.4520975,0
tail-age,128,410000,0.4520975,0
hits,128,330000,0.4870900375,43
tail-age,256,770000,0.2734423125,0
free-mem,256,810000,0.2734423125,0
marginal-hits,256,270000,0.193750175,285
tail-age,128,180000,0.4520975,0
marginal-hits,128,100000,0.4193011875,789
hits,128,540000,0.48409595,43
free-mem,256,530000,0.2734423125,0
marginal-hits,256,390000,0.1982782875,197
marginal-hits,128,90000,0.4199341375,877
optimal,128,0,0.4167306625,0
optimal,256,0,0.190461575,0
