rebalance_strategy,slab_cnt,rebalance_interval,miss_ratio,rebalanced_slabs
marginal-hits,256,150000,0.18998975,514
free-mem,256,640000,0.2734423125,0
tail-age,256,780000,0.2734423125,0
free-mem,256,820000,0.2734423125,0
hits,128,20000,0.4921606375,46
hits,128,260000,0.4880442375,43
hits,256,100000,0.3493392,66
marginal-hits,256,420000,0.19924335,183
tail-age,128,730000,0.4520975,0
hits,256,840000,0.3213947625,64
hits,256,660000,0.329099075,65
tail-age,128,570000,0.4520975,0
free-mem,256,320000,0.2734423125,0
hits,256,880000,0.319703325,64
hits,128,60000,0.4920033875,45
marginal-hits,128,660000,0.4206712625,119
marginal-hits,128,170000,0.41839235,464
tail-age,128,130000,0.4520975,0
hits,128,760000,0.4807886375,43
hits,128,160000,0.4894896375,43
free-mem,128,390000,0.4520975,0
free-mem,256,780000,0.2734423125,0
hits,128,970000,0.478111625,43
tail-age,128,240000,0.4520975,0
free-mem,256,680000,0.2734423125,0
tail-age,256,190000,0.2734423125,0
tail-age,256,330000,0.2734423125,0
marginal-hits,128,150000,0.4184493375,526
tail-age,128,80000,0.4520975,0
tail-age,128,260000,0.4520975,0
free-mem,128,80000,0.4520975,0
marginal-hits,128,180000,0.41831175,438
marginal-hits,256,640000,0.20815925,119
free-mem,256,20000,0.2734423125,0
marginal-hits,256,110000,0.1899924375,701
tail-age,128,390000,0.4520975,0
hits,128,30000,0.4921214125,46
hits,256,970000,0.3169315,64
free-mem,128,490000,0.4520975,0
free-mem,256,710000,0.2734423125,0
marginal-hits,256,230000,0.1923928375,334
hits,128,740000,0.4810904375,43
marginal-hits,256,900000,0.2191785,84
hits,256,120000,0.3493171125,67
free-mem,128,180000,0.4520975,0
tail-age,256,880000,0.2734423125,0
tail-age,256,620000,0.2734423125,0
tail-age,256,70000,0.2734423125,0
marginal-hits,256,480000,0.2014908125,160
marginal-hits,256,940000,0.2198381125,82
tail-age,128,420000,0.4520975,0
tail-age,256,80000,0.2734423125,0
free-mem,128,640000,0.4520975,0
marginal-hits,128,430000,0.4192143375,183
free-mem,128,630000,0.4520975,0
marginal-hits,128,720000,0.4211591125,109
free-mem,128,340000,0.4520975,0
tail-age,256,180000,0.2734423125,0
hits,256,860000,0.3205446625,64
tail-age,128,110000,0.4520975,0
marginal-hits,256,780000,0.213731375,98
free-mem,128,920000,0.4520975,0
marginal-hits,128,830000,0.4219823375,94
hits,256,220000,0.344522925,64
hits,128,680000,0.4819975125,43
hits,128,790000,0.480341375,43
marginal-hits,256,630000,0.2077699125,121
free-mem,128,260000,0.4520975,0
free-mem,128,750000,0.4520975,0
marginal-hits,256,890000,0.2187223375,85
hits,256,570000,0.332218125,64
free-mem,256,630000,0.2734423125,0
marginal-hits,128,510000,0.4195737375,154
marginal-hits,128,600000,0.420276525,131
free-mem,128,140000,0.4520975,0
tail-age,256,740000,0.2734423125,0
hits,128,100000,0.4915587625,44
free-mem,256,740000,0.2734423125,0
hits,128,70000,0.49197905,46
free-mem,128,840000,0.4520975,0
free-mem,256,580000,0.2734423125,0
hits,256,790000,0.3235216875,64
hits,128,620000,0.4828919125,43
tail-age,256,390000,0.2734423125,0
free-mem,128,780000,0.4520975,0
hits,256,270000,0.3444777875,65
tail-age,128,380000,0.4520975,0
tail-age,256,290000,0.2734423125,0
marginal-hits,256,30000,0.1965737875,2572
marginal-hits,128,750000,0.42138285,104
hits,128,530000,0.4842430375,43
hits,256,830000,0.3218089875,64
marginal-hits,128,940000,0.422394725,84
free-mem,128,900000,0.4520975,0
hits,128,290000,0.487563775,43
tail-age,128,70000,0.4520975,0
tail-age,128,210000,0.4520975,0
marginal-hits,128,890000,0.4224501125,87
tail-age,256,100000,0.2734423125,0
tail-age,256,360000,0.2734423125,0
tail-age,128,400000,0.4520975,0
free-mem,256,520000,0.2734423125,0
hits,256,450000,0.337578775,65
marginal-hits,256,750000,0.21246535,102
hits,128,360000,0.4866199375,43
free-mem,128,480000,0.4520975,0
hits,128,930000,0.478709025,43
tail-age,256,580000,0.2734423125,0
tail-age,256,500000,0.2734423125,0
marginal-hits,128,820000,0.421898475,95
hits,256,920000,0.31801495,64
tail-age,128,660000,0.4520975,0
marginal-hits,128,950000,0.4224414,83
hits,128,390000,0.486158225,43
marginal-hits,256,310000,0.1953448625,248
hits,256,130000,0.3480377625,66
tail-age,128,630000,0.4520975,0
marginal-hits,128,450000,0.4193445375,174
free-mem,256,60000,0.2734423125,0
free-mem,128,520000,0.4520975,0
tail-age,128,200000,0.4520975,0
tail-age,128,900000,0.4520975,0
marginal-hits,256,700000,0.2110629375,109
free-mem,256,560000,0.2734423125,0
marginal-hits,256,300000,0.194894075,256
tail-age,256,240000,0.2734423125,0
tail-age,128,940000,0.4520975,0
hits,128,420000,0.4856876125,43
free-mem,128,990000,0.4520975,0
tail-age,256,230000,0.2734423125,0
tail-age,256,860000,0.2734423125,0
tail-age,256,830000,0.2734423125,0
