rebalance_strategy,slab_count,request_id,value,key,class_id
free-mem,32,600000,0,free_slabs,0
free-mem,32,600000,1371,hits_per_slab,4
free-mem,32,600000,1189,hits_per_slab,3
free-mem,32,600000,229,hits_per_slab,2
free-mem,32,600000,2804,hits_per_slab,1
free-mem,32,600000,225,hits_per_slab,0
free-mem,32,600000,197,marginal_hits,4
free-mem,32,600000,329,marginal_hits,3
free-mem,32,600000,236,marginal_hits,2
free-mem,32,600000,866,marginal_hits,1
free-mem,32,600000,229,marginal_hits,0
free-mem,32,600000,1288,tail_age,4
free-mem,32,600000,1225,tail_age,3
free-mem,32,600000,1130,tail_age,2
free-mem,32,600000,1403,tail_age,1
free-mem,32,600000,1254,tail_age,0
free-mem,32,700000,11,num_slabs,4
free-mem,32,700000,9,num_slabs,3
free-mem,32,700000,7,num_slabs,2
free-mem,32,700000,3,num_slabs,1
free-mem,32,700000,2,num_slabs,0
free-mem,32,700000,0,free_slabs,4
free-mem,32,700000,0,free_slabs,3
free-mem,32,700000,0,free_slabs,2
free-mem,32,700000,0,free_slabs,1
free-mem,32,700000,0,free_slabs,0
free-mem,32,700000,1368,hits_per_slab,4
free-mem,32,700000,1174,hits_per_slab,3
free-mem,32,700000,220,hits_per_slab,2
free-mem,32,700000,2729,hits_per_slab,1
free-mem,32,700000,223,hits_per_slab,0
free-mem,32,700000,207,marginal_hits,4
free-mem,32,700000,323,marginal_hits,3
free-mem,32,700000,221,marginal_hits,2
free-mem,32,700000,800,marginal_hits,1
free-mem,32,700000,222,marginal_hits,0
free-mem,32,700000,1298,tail_age,4
free-mem,32,700000,1221,tail_age,3
free-mem,32,700000,1128,tail_age,2
free-mem,32,700000,1392,tail_age,1
free-mem,32,700000,1253,tail_age,0
free-mem,32,800000,11,num_slabs,4
free-mem,32,800000,9,num_slabs,3
free-mem,32,800000,7,num_slabs,2
free-mem,32,800000,3,num_slabs,1
free-mem,32,800000,2,num_slabs,0
free-mem,32,800000,0,free_slabs,4
free-mem,32,800000,0,free_slabs,3
free-mem,32,800000,0,free_slabs,2
free-mem,32,800000,0,free_slabs,1
free-mem,32,800000,0,free_slabs,0
free-mem,32,800000,1361,hits_per_slab,4
free-mem,32,800000,1180,hits_per_slab,3
free-mem,32,800000,221,hits_per_slab,2
free-mem,32,800000,2767,hits_per_slab,1
free-mem,32,800000,221,hits_per_slab,0
free-mem,32,800000,208,marginal_hits,4
free-mem,32,800000,314,marginal_hits,3
free-mem,32,800000,221,marginal_hits,2
