request_id,effective_move_rate,threshold,window_size,diff,victim_class_id,receiver_class_id
5000000,1.0,2.0,1,32.2,4,2
5050000,1.0,2.0,2,34.5,4,0
5100000,1.0,2.0,3,45.849999999999994,3,2
5150000,1.0,2.0,4,49.27799999999999,3,0
5200000,1.0,2.0,5,23.9959,3,1
5250000,1.0,2.0,6,15.478769999999997,3,1
5300000,1.0,2.0,7,42.375006,3,0
5350000,1.0,2.0,8,36.0483495,3,2
5400000,0.8888888888888881,2.0,9,4.48265391,4,3
5450000,0.9,2.0,10,40.435351454999996,3,2
5500000,0.9,2.0,10,35.323427548599994,3,0
5550000,0.9,2.0,10,17.22895232333,3,1
5600000,0.8,2.0,10,5.924820503329002,3,4
5650000,0.8,2.0,10,42.272876346785495,3,2
5700000,0.8,2.0,10,42.30815976314365,3,0
5750000,0.8,2.0,10,13.54557451381897,3,1
5800000,0.8,2.0,10,6.038711046076965,3,4
5850000,0.8,2.0,10,38.851610298408964,3,2
5900000,1.0,2.0,10,40.75545609408145,3,0
5950000,1.0,2.0,10,18.17354519824407,3,4
6000000,1.0,2.0,10,17.41860574606858,3,1
6050000,1.0,2.0,10,42.01288804341711,3,2
6100000,1.0,2.0,10,47.73759919436206,3,0
6250000,0.9,2.0,10,31.17901317870215,4,2
6300000,0.9,2.0,10,8.615428663588887,3,1
6350000,0.9,2.0,10,47.043449366042296,3,0
6500000,0.9,2.0,10,32.46933380587535,3,2
6550000,0.9,2.0,10,35.18296193986494,3,0
6600000,0.9,2.0,10,8.726127647495758,3,1
6750000,1.0,2.0,10,41.68675448114828,3,2
6800000,1.0,2.0,10,42.80283559751386,3,0
6850000,1.0,2.0,10,5.839849490183411,3,1
6900000,0.9,2.0,10,6.520054193288278,3,4
6950000,1.0,2.0,10,3.896016257986481,3,4
7000000,0.9,2.0,10,45.63499593599325,4,2
7050000,0.8,2.0,10,47.16549742728317,4,0
7100000,0.8,2.0,10,3.271392438965634,3,4
7150000,0.7000000000000001,2.0,10,3.898740418588652,4,1
7250000,0.7000000000000001,2.0,10,43.005960529160994,4,0
7300000,0.7000000000000001,2.0,10,32.80764071203734,4,2
7350000,0.6000000000000001,2.0,10,3.706789516373312,4,3
7450000,0.6000000000000001,2.0,10,12.30727438176515,4,1
7500000,0.7000000000000001,2.0,10,41.24677748408586,4,0
7650000,0.8,2.0,10,29.950453331466292,3,2
7700000,0.7000000000000001,2.0,10,2.467836284867232,4,3
7750000,0.7000000000000001,2.0,10,29.004473669286334,4,0
7800000,0.9,2.0,10,4.211421920907291,4,1
7850000,0.8,2.0,10,11.53180500341923,1,3
7900000,0.7000000000000001,2.0,10,4.110458498974232,3,1
8000000,0.6000000000000001,2.0,10,50.2641716183647,3,0
8050000,0.7000000000000001,2.0,10,31.621045007243076,3,2
8100000,0.6000000000000001,2.0,10,3.143897187261345,3,4
8150000,0.6000000000000001,2.0,10,8.755065414152504,3,1
8200000,0.5,2.0,10,6.163049253146479,4,3
8250000,1.0,4.467836284867232,1,48.80889071297657,4,0
8300000,1.0,4.467836284867232,2,7.25167443278319,4,3
8400000,1.0,4.467836284867232,3,32.75712247149356,4,2
8450000,0.5,4.467836284867232,4,6.13180479031486,3,4
8500000,0.6000000000000001,4.467836284867232,5,29.583368041526995,3,0
8550000,0.5,4.467836284867232,6,8.975862431128341,3,4
8650000,1.0,8.13180479031486,1,9.446087367044239,1,3
8700000,0.5,8.13180479031486,2,8.37092550424627,4,1
8750000,0.6666666666666661,8.13180479031486,3,39.09440909864878,4,0
8800000,0.75,8.13180479031486,4,8.41794435891019,1,3
8850000,0.8,8.13180479031486,5,25.51052099132695,1,2
9000000,0.833333333333333,8.13180479031486,6,10.26333534930717,1,3
9050000,0.8571428571428571,8.13180479031486,7,35.197206924232916,4,0
9150000,0.875,8.13180479031486,8,8.620130338157999,4,3
9300000,0.777777777777777,8.13180479031486,9,29.207726693695605,3,0
9400000,0.7000000000000001,8.13180479031486,10,31.35587792006435,3,2
9450000,0.5,8.13180479031486,10,17.12139762498348,3,4
9500000,1.0,10.37092550424627,1,20.098525546573953,1,4
9550000,1.0,10.37092550424627,2,12.639557663972184,1,4
9600000,1.0,10.37092550424627,3,46.2407838327597,3,0
9750000,0.75,10.37092550424627,4,13.167647518209556,1,3
9850000,0.8,10.37092550424627,5,14.836088276638854,1,3
9900000,0.833333333333333,10.37092550424627,6,39.83313011440575,1,0
9950000,0.8571428571428571,10.37092550424627,7,21.067247944897495,1,3
10000000,0.875,10.37092550424627,8,28.51445162179197,1,2
10100000,0.8888888888888881,10.37092550424627,9,11.245678951784221,1,4
10150000,0.9,10.37092550424627,10,44.03542550617801,1,0
10250000,0.9,10.37092550424627,10,11.825347223751827,1,3
10450000,0.7000000000000001,10.37092550424627,10,10.44990468748761,3,1
10500000,0.7000000000000001,10.37092550424627,10,23.874591523804483,3,0
10550000,0.5,10.37092550424627,10,10.677285517601192,4,1
10700000,1.0,12.44990468748761,1,19.914639109654445,4,2
10800000,1.0,12.44990468748761,2,32.43205416306571,1,0
10900000,1.0,12.44990468748761,3,15.906239285726038,1,3
10950000,1.0,12.44990468748761,4,14.88187178571781,1,3
11100000,0.8,12.44990468748761,5,34.7791521292705,3,0
11450000,0.6666666666666661,12.44990468748761,6,31.335986720570673,3,0
11600000,0.7142857142857141,12.44990468748761,7,28.495475619236878,1,2
11750000,0.75,12.44990468748761,8,26.549628457707797,1,0
11800000,0.6666666666666661,12.44990468748761,9,12.63543548304034,4,1
12100000,0.7000000000000001,12.44990468748761,10,48.5648318237437,1,0
12250000,0.7000000000000001,12.44990468748761,10,13.39166850923096,4,3
12450000,0.7000000000000001,12.44990468748761,10,40.8223638251995,4,0
12500000,0.6000000000000001,12.44990468748761,10,15.062288707943893,4,1
12600000,0.6000000000000001,12.44990468748761,10,12.479605983714947,4,1
12750000,0.6000000000000001,12.44990468748761,10,30.85138522704269,3,2
12800000,0.6000000000000001,12.44990468748761,10,31.20893114373756,3,0
13200000,0.6000000000000001,12.44990468748761,10,37.766539717775466,1,0
13550000,0.7000000000000001,12.44990468748761,10,34.60410051807109,3,0
13950000,0.7000000000000001,12.44990468748761,10,41.575554485053125,1,0
14000000,0.6000000000000001,12.44990468748761,10,12.548870361807353,1,4
14350000,0.7000000000000001,12.44990468748761,10,12.785334360473115,3,0
14500000,0.7000000000000001,12.44990468748761,10,29.61703797532971,1,2
14750000,0.8,12.44990468748761,10,30.151705579062963,4,0
14800000,0.8,12.44990468748761,10,16.753388896680455,4,1
14850000,0.7000000000000001,12.44990468748761,10,20.376016669004137,4,1
14950000,0.6000000000000001,12.44990468748761,10,14.713741593026533,4,3
15200000,0.6000000000000001,12.44990468748761,10,21.007494128320914,4,0
15500000,0.5,12.44990468748761,10,16.93643766801017,3,4
15600000,1.0,14.548870361807353,1,15.012441532204996,3,1
15650000,0.5,14.548870361807353,2,28.699131046881703,1,0
16100000,0.6666666666666661,14.548870361807353,3,43.9270369441124,3,0
16150000,0.75,14.548870361807353,4,15.956347374494484,4,1
16600000,0.6000000000000001,14.548870361807353,5,21.25567655024782,1,0
17050000,0.6666666666666661,14.548870361807353,6,25.43188952422527,4,0
17550000,0.7142857142857141,14.548870361807353,7,20.40719578049876,3,1
17600000,0.75,14.548870361807353,8,24.355969176657226,3,0
18000000,0.777777777777777,14.548870361807353,9,25.974919014049732,4,2
18100000,0.8,14.548870361807353,10,18.41647609386176,4,0
18750000,0.8,14.548870361807353,10,20.66827012706794,3,0
19250000,0.8,14.548870361807353,10,20.433206550501964,1,0
19850000,0.8,14.548870361807353,10,15.298988866378423,4,0
20200000,0.8,14.548870361807353,10,18.969719639380756,3,1
20500000,0.9,14.548870361807353,10,19.34602138008227,4,0
20850000,0.7000000000000001,14.548870361807353,10,17.29916824052934,1,3
21150000,0.8,14.548870361807353,10,26.457530499210065,3,0
21750000,0.7000000000000001,14.548870361807353,10,14.946756286370956,1,3
21800000,0.6000000000000001,14.548870361807353,10,22.105810789604746,1,4
21850000,0.6000000000000001,14.548870361807353,10,22.162203259375516,1,0
22000000,0.6000000000000001,14.548870361807353,10,16.329371617775877,1,3
22450000,0.6000000000000001,14.548870361807353,10,16.410126850826735,4,3
22600000,0.5,14.548870361807353,10,25.889960927121905,3,0
22650000,1.0,16.946756286370956,1,21.456767972508317,3,4
22750000,1.0,16.946756286370956,2,18.12510911752574,3,4
22850000,0.33333333333333304,16.946756286370956,3,21.620740179422683,4,3
23450000,0.25,16.946756286370956,4,28.142560972639295,4,0
24200000,0.4,16.946756286370956,5,18.31720162587115,3,0
24400000,1.0,20.12510911752574,1,24.706554587884483,4,1
24450000,1.0,20.12510911752574,2,24.291966376365338,4,1
25100000,1.0,20.12510911752574,3,24.186631992689144,4,0
26050000,1.0,20.12510911752574,4,20.36747535509737,4,0
27150000,1.0,20.12510911752574,5,28.469724217573656,3,0
27300000,1.0,10.06255455876287,1,15.09107196410541,1,3
27450000,1.0,10.06255455876287,2,13.819655213767703,1,4
27700000,0.33333333333333304,10.06255455876287,3,11.519072646768429,3,1
27750000,0.25,10.06255455876287,4,12.235721794030525,3,1
27800000,0.4,10.06255455876287,5,10.888736486804419,3,4
27950000,1.0,12.888736486804419,1,13.475443461387925,4,1
28050000,0.5,12.888736486804419,2,15.39264445881215,1,3
28150000,0.6666666666666661,12.888736486804419,3,17.432511053143514,1,0
28250000,0.75,12.888736486804419,4,14.898935818399728,4,3
28700000,0.6000000000000001,12.888736486804419,5,13.490836779830005,2,4
28750000,0.6666666666666661,12.888736486804419,6,15.216581104530633,1,3
28950000,0.5714285714285711,12.888736486804419,7,17.636750266625015,4,2
29050000,0.5,12.888736486804419,8,18.61236369884032,4,1
29300000,1.0,15.475443461387925,1,24.77401237035238,1,0
29350000,1.0,15.475443461387925,2,16.115378688350624,4,3
29400000,1.0,15.475443461387925,3,18.245118662564252,1,3
29900000,0.5,15.475443461387925,4,20.0615423064688,3,1
29950000,0.2,15.475443461387925,5,15.608462691940645,3,1
30150000,1.0,17.608462691940645,1,18.30116850746556,3,4
30700000,0.5,17.608462691940645,2,17.853106931715907,4,0
31150000,0.6666666666666661,17.608462691940645,3,19.862941178242366,4,1
32150000,0.5,17.608462691940645,4,22.09955164381978,1,0
32550000,0.4,17.608462691940645,5,17.702936046384906,1,3
33650000,1.0,19.702936046384906,1,20.512694500448646,3,0
33750000,1.0,19.702936046384906,2,20.768900375487164,3,4
34250000,0.33333333333333304,19.702936046384906,3,21.890233116440164,4,3
34350000,0.25,19.702936046384906,4,21.64512098047961,4,3
34800000,0.4,19.702936046384906,5,21.861338177752216,3,1
36050000,1.0,22.512694500448646,1,32.935265164759684,2,0
38000000,1.0,22.512694500448646,2,30.537202940143786,4,0
38300000,0.6666666666666661,22.512694500448646,3,23.278635626532036,4,2
39950000,0.75,22.512694500448646,4,22.832414467156916,2,0
40950000,0.8,22.512694500448646,5,41.99999999947051,2,3
41000000,0.833333333333333,22.512694500448646,6,52.72999999984115,2,3
41050000,0.8571428571428571,22.512694500448646,7,54.618999999952344,2,3
41100000,0.875,22.512694500448646,8,47.3956999999857,2,3
41150000,0.8888888888888881,22.512694500448646,9,56.83870999999571,2,3
41200000,0.9,22.512694500448646,10,59.1916129999987,2,3
41250000,0.9,22.512694500448646,10,61.72748389999961,2,3
41300000,0.9,22.512694500448646,10,52.958245169999884,2,3
41400000,1.0,22.512694500448646,10,42.60024206529998,2,3
41450000,1.0,11.256347250224323,1,45.24007261958999,2,3
41500000,1.0,11.256347250224323,2,44.652021785877,2,3
41600000,1.0,11.256347250224323,3,41.071681960728924,2,3
41650000,1.0,11.256347250224323,4,40.76150458821868,2,3
41700000,1.0,11.256347250224323,5,46.2684513764656,2,3
41800000,1.0,5.6281736251121615,1,41.252160623881906,2,3
41850000,1.0,5.6281736251121615,2,38.62564818716457,2,3
41950000,1.0,5.6281736251121615,3,48.36730833684481,2,3
42000000,1.0,5.6281736251121615,4,46.04019250105344,4,3
42050000,0.8,5.6281736251121615,5,159.6,4,2
42100000,0.6666666666666661,5.6281736251121615,6,217.82,4,2
42150000,0.5714285714285711,5.6281736251121615,7,258.296,4,2
42200000,0.625,5.6281736251121615,8,265.7088,4,2
42250000,0.6666666666666661,5.6281736251121615,9,255.04264,4,2
42300000,0.7000000000000001,5.6281736251121615,10,241.21279199999998,4,2
42350000,0.8,5.6281736251121615,10,34.73212578009998,4,3
42400000,0.9,5.6281736251121615,10,261.29815127999996,4,2
42450000,1.0,5.6281736251121615,10,269.599445384,4,2
42500000,1.0,2.81408681255608,1,34.990767396062694,4,3
42550000,1.0,2.81408681255608,2,263.77895008456,4,2
42600000,1.0,2.81408681255608,3,34.740169065645645,4,3
42650000,1.0,2.81408681255608,4,269.2661055076104,4,2
42700000,1.0,2.81408681255608,5,40.363615215908105,4,3
42750000,1.0,2.0,1,272.7139494956849,4,2
42800000,1.0,2.0,2,36.89372536943173,4,3
42850000,1.0,2.0,3,41.06811761082952,4,3
42900000,1.0,2.0,4,256.6791766363835,4,2
42950000,1.0,2.0,5,34.14913058497466,0,3
43000000,1.0,2.0,6,31.844739175492393,0,3
43050000,1.0,2.0,7,250.91863776918234,0,2
43100000,1.0,2.0,8,35.59502652579431,0,3
43150000,0.8888888888888881,2.0,9,17.2802,0,4
43200000,0.9,2.0,10,243.1097032197679,0,2
43250000,0.9,2.0,10,34.850265716196446,0,3
43300000,0.9,2.0,10,23.67,0,1
43350000,0.9,2.0,10,34.04652391445768,0,3
43400000,1.0,2.0,10,31.040300000000002,0,1
43450000,1.0,2.0,10,257.170120578824,0,2
43500000,1.0,2.0,10,23.130356145690357,0,3
43550000,1.0,2.0,10,37.038688099999995,0,1
43600000,1.0,2.0,10,25.56773205311213,0,3
43650000,1.0,2.0,10,26.540319615933633,0,3
43700000,1.0,2.0,10,22.28579006972989,0,4
43750000,1.0,2.0,10,280.76816581790195,0,2
43800000,1.0,2.0,10,32.588632012082996,0,1
43850000,1.0,2.0,10,30.42329658888906,0,3
43900000,1.0,2.0,10,34.65698897666672,0,3
43950000,1.0,2.0,10,17.384421469869444,0,4
44000000,1.0,2.0,10,33.35286791929787,0,1
44050000,1.0,2.0,10,30.25303870237,0,3
44100000,1.0,2.0,10,16.542779379686475,0,4
44150000,1.0,2.0,10,27.1787734832133,0,3
44200000,1.0,2.0,10,247.4677078432078,0,2
44250000,1.0,2.0,10,35.881159469043894,0,1
44300000,1.0,2.0,10,38.198226884046754,0,3
44350000,1.0,2.0,10,18.060533953892637,0,4
44400000,1.0,2.0,10,16.65816018616779,0,4
44450000,1.0,2.0,10,28.619107391699252,0,1
44500000,1.0,2.0,10,25.204315637760775,0,3
44550000,1.0,2.0,10,16.18317032502653,0,4
44600000,1.0,2.0,10,28.062388407398466,0,3
44650000,1.0,2.0,10,17.253485329252385,0,4
44700000,1.0,2.0,10,28.82788243096183,0,1
44750000,1.0,2.0,10,26.04208448699976,0,3
44800000,1.0,2.0,10,13.123544103889813,0,4
44850000,1.0,2.0,10,16.737063231166943,0,4
44900000,1.0,2.0,10,29.37810584769079,0,1
44950000,1.0,2.0,10,24.365335690805022,0,4
45000000,1.0,2.0,10,32.0820072653034,0,3
45050000,1.0,2.0,10,252.77629973307978,0,2
45100000,1.0,2.0,10,23.605380653877305,0,3
45150000,1.0,2.0,10,25.83744279720989,0,1
45200000,1.0,2.0,10,22.987674765728656,0,4
45250000,1.0,2.0,10,24.976302429718594,0,4
45300000,1.0,2.0,10,28.259233583296407,0,3
45350000,1.0,2.0,10,14.268867218674673,0,4
45400000,1.0,2.0,10,28.423851985997217,0,1
45450000,1.0,2.0,10,30.081699306749,0,3
45500000,1.0,2.0,10,11.408159414904215,0,4
45550000,1.0,2.0,10,13.332447824471263,0,4
45600000,1.0,2.0,10,27.025205881282222,0,3
45700000,1.0,2.0,10,30.782769788097788,0,1
45750000,1.0,2.0,10,30.33028055879462,0,3
45800000,1.0,2.0,10,13.540974848213462,0,4
45850000,1.0,2.0,10,10.742292454464039,0,4
45950000,1.0,2.0,10,31.55084313058508,0,1
46000000,1.0,2.0,10,20.33185658175787,0,3
46050000,1.0,2.0,10,16.85045256888116,0,4
46100000,1.0,2.0,10,9.995135770664348,0,4
46200000,1.0,2.0,10,24.034138038312236,0,3
46250000,1.0,2.0,10,25.183316764642193,0,1
46300000,1.0,2.0,10,11.21411059974238,0,4
46350000,1.0,2.0,10,13.974233179922713,0,4
46400000,1.0,2.0,10,20.486136518110328,0,3
46500000,1.0,2.0,10,27.688162459738074,0,1
46550000,1.0,2.0,10,15.887211288757372,0,4
46600000,1.0,2.0,10,31.754387705796688,0,3
46650000,1.0,2.0,10,16.388849015988164,0,4
46800000,1.0,2.0,10,26.88468347043315,0,1
46850000,1.0,2.0,10,20.582375162125082,0,3
46900000,1.0,2.0,10,13.816101903108851,0,4
46950000,1.0,2.0,10,16.514830570932652,0,4
47100000,1.0,2.0,10,27.670996434249943,0,1
47150000,1.0,2.0,10,17.38004245149319,0,3
47200000,1.0,2.0,10,11.736695038287365,0,4
47300000,1.0,2.0,10,15.753302553445863,0,4
47350000,1.0,2.0,10,28.08079834385709,0,3
47400000,1.0,2.0,10,24.720340956400566,0,1
47500000,1.0,2.0,10,11.841051750682912,0,4
47550000,0.8,2.0,10,4.647684474795124,4,0
47600000,0.6000000000000001,2.0,10,17.964305342438536,4,0
47650000,0.5,2.0,10,4.452511304724233,4,3
47750000,1.0,6.452511304724233,1,21.843236244245844,4,0
47800000,1.0,6.452511304724233,2,8.5915529688439,4,1
47900000,1.0,6.452511304724233,3,24.745567378594636,4,0
47950000,1.0,6.452511304724233,4,12.440023280741144,4,3
48050000,1.0,6.452511304724233,5,15.835580473714291,4,1
48100000,1.0,3.226255652362116,1,23.43989909576662,4,0
48200000,1.0,3.226255652362116,2,31.711590918618995,4,0
48250000,1.0,3.226255652362116,3,11.90996057697166,4,3
