directory,allocator,cacheSizeMB,allocSizes,moveOnSlabRelease,rebalanceStrategy,poolRebalanceIntervalSec,trace_name,cache_size,op_count,uuid,file_path,_rebalanceEvents,_rebalancerAvgPickTimeMs,_rebalancerPickVictimRounds,_rebalancerNumRuns,_ramEvictions,_allocAttempts,_nvmItem,_getMissRatio,_getCnt,_getMissCnt,_totalMissCnt,_acEvictionAgeStats,_poolUsageFraction,_acStats,_rebalancerAvgReleaseTimeMs,_rebalancerAvgRebalanceTimeMs,_rebalancerNumRebalancedSlabs,_numEvictions,_evicAttempts,_allocFailures,_ramItem,_missRatio
synth_zipf_085_2048_90562926-d037-4d6f-b10e-917fa39ea4bf,LRU2Q,1888,[2048],False,disabled,0,synth_zipf_085_2048,1888,10500000,synth_zipf_085_2048_90562926-d037-4d6f-b10e-917fa39ea4bf,traces/synth_zipf_085_2048.csv,"[{'events': [], 'pid': 0}]",0,0,0,0,685459,0,93.47181904761905,10500000,685459,685459,"[{'evictionAge': 302398, 'cid': 0, 'pid': 0}]","[{'usage': 0.7112526539278132, 'pid': 0}]","[{'totalSlabs': 335, 'getMissRatio': 6.528180952380953, 'getMissCnt': 685459, 'getCnt': 10500000, 'allocSize': 2048, 'cid': 0, 'pid': 0}]",0,0,0,0,0,0,685459,0.06528180952380952
synth_zipf_100_4096_81ea3518-349f-4743-962e-ef9dca9435e9,LRU2Q,800,[4096],False,disabled,0,synth_zipf_100_4096,800,21000000,synth_zipf_100_4096_81ea3518-349f-4743-962e-ef9dca9435e9,traces/synth_zipf_100_4096.csv,"[{'events': [], 'pid': 0}]",0,0,0,2493187,2696963,0,87.15731904761904,21000000,2696963,2696963,"[{'evictionAge': 30572, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 199, 'getMissRatio': 12.842680952380952, 'getMissCnt': 2696963, 'getCnt': 21000000, 'allocSize': 4096, 'cid': 0, 'pid': 0}]",0,0,0,2493187,2493187,0,203776,0.12842680952380953
synth_zipf_100_4096_9d25d03b-cc1c-4d74-ba93-abb7fba192ed,LRU2Q,884,[4096],False,disabled,0,synth_zipf_100_4096,884,21000000,synth_zipf_100_4096_9d25d03b-cc1c-4d74-ba93-abb7fba192ed,traces/synth_zipf_100_4096.csv,"[{'events': [], 'pid': 0}]",0,0,0,2274422,2499702,0,88.09665714285714,21000000,2499702,2499702,"[{'evictionAge': 35735, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 220, 'getMissRatio': 11.903342857142857, 'getMissCnt': 2499702, 'getCnt': 21000000, 'allocSize': 4096, 'cid': 0, 'pid': 0}]",0,0,0,2274422,2274422,0,225280,0.11903342857142857
synth_zipf_085_2048_e83b4444-c30f-48ef-96c7-01888fcd094e,LRU2Q,1264,[2048],False,disabled,0,synth_zipf_085_2048,1264,21000000,synth_zipf_085_2048_e83b4444-c30f-48ef-96c7-01888fcd094e,traces/synth_zipf_085_2048.csv,"[{'events': [], 'pid': 0}]",0,0,0,265584,910704,0,95.66331428571428,21000000,910704,910704,"[{'evictionAge': 180860, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 315, 'getMissRatio': 4.336685714285714, 'getMissCnt': 910704, 'getCnt': 21000000, 'allocSize': 2048, 'cid': 0, 'pid': 0}]",0,0,0,265584,265584,0,645120,0.043366857142857144
synth_zipf_100_4096_10cbc73f-31d6-4ed2-84dd-60be84eb19fd,LRU2Q,776,[4096],False,disabled,0,synth_zipf_100_4096,776,10500000,synth_zipf_100_4096_10cbc73f-31d6-4ed2-84dd-60be84eb19fd,traces/synth_zipf_100_4096.csv,"[{'events': [], 'pid': 0}]",0,0,0,1214030,1411662,0,86.5556,10500000,1411662,1411662,"[{'evictionAge': 29122, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 193, 'getMissRatio': 13.4444, 'getMissCnt': 1411662, 'getCnt': 10500000, 'allocSize': 4096, 'cid': 0, 'pid': 0}]",0,0,0,1214030,1214030,0,197632,0.134444
synth_zipf_100_4096_e77132eb-9de6-4c8c-b87d-978cf676834a,LRU2Q,140,[4096],False,disabled,0,synth_zipf_100_4096,140,21000000,synth_zipf_100_4096_e77132eb-9de6-4c8c-b87d-978cf676834a,traces/synth_zipf_100_4096.csv,"[{'events': [], 'pid': 0}]",0,0,0,6031938,6066754,0,71.11069523809525,21000000,6066754,6066754,"[{'evictionAge': 2812, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 34, 'getMissRatio': 28.88930476190476, 'getMissCnt': 6066754, 'getCnt': 21000000, 'allocSize': 4096, 'cid': 0, 'pid': 0}]",0,0,0,6031938,6031938,0,34816,0.2888930476190476
synth_zipf_085_2048_4927033e-8b5c-4f0a-842a-d0ddf288e591,LRU2Q,608,[2048],False,disabled,0,synth_zipf_085_2048,608,21000000,synth_zipf_085_2048_4927033e-8b5c-4f0a-842a-d0ddf288e591,traces/synth_zipf_085_2048.csv,"[{'events': [], 'pid': 0}]",0,0,0,3661231,3970479,0,81.09295714285714,21000000,3970479,3970479,"[{'evictionAge': 28963, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 151, 'getMissRatio': 18.90704285714286, 'getMissCnt': 3970479, 'getCnt': 21000000, 'allocSize': 2048, 'cid': 0, 'pid': 0}]",0,0,0,3661231,3661231,0,309248,0.18907042857142858
synth_zipf_100_4096_362c55d5-4769-4b3e-9740-deb55db25781,LRU2Q,304,[4096],False,disabled,0,synth_zipf_100_4096,304,10500000,synth_zipf_100_4096_362c55d5-4769-4b3e-9740-deb55db25781,traces/synth_zipf_100_4096.csv,"[{'events': [], 'pid': 0}]",0,0,0,2225699,2302499,0,78.0714380952381,10500000,2302499,2302499,"[{'evictionAge': 7695, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 75, 'getMissRatio': 21.928561904761906, 'getMissCnt': 2302499, 'getCnt': 10500000, 'allocSize': 4096, 'cid': 0, 'pid': 0}]",0,0,0,2225699,2225699,0,76800,0.21928561904761903
synth_zipf_085_2048_08910ed0-524e-4a0e-a2ea-e668fdea24f9,LRU2Q,232,[2048],False,disabled,0,synth_zipf_085_2048,232,10500000,synth_zipf_085_2048_08910ed0-524e-4a0e-a2ea-e668fdea24f9,traces/synth_zipf_085_2048.csv,"[{'events': [], 'pid': 0}]",0,0,0,3728716,3845452,0,63.37664761904762,10500000,3845452,3845452,"[{'evictionAge': 7079, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 57, 'getMissRatio': 36.62335238095238, 'getMissCnt': 3845452, 'getCnt': 10500000, 'allocSize': 2048, 'cid': 0, 'pid': 0}]",0,0,0,3728716,3728716,0,116736,0.3662335238095238
synth_zipf_100_4096_df018185-8a8c-4370-a806-b4d8a478b5ef,LRU2Q,536,[4096],False,disabled,0,synth_zipf_100_4096,536,21000000,synth_zipf_100_4096_df018185-8a8c-4370-a806-b4d8a478b5ef,traces/synth_zipf_100_4096.csv,"[{'events': [], 'pid': 0}]",0,0,0,3349080,3485272,0,83.40346666666667,21000000,3485272,3485272,"[{'evictionAge': 16897, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 133, 'getMissRatio': 16.596533333333333, 'getMissCnt': 3485272, 'getCnt': 21000000, 'allocSize': 4096, 'cid': 0, 'pid': 0}]",0,0,0,3349080,3349080,0,136192,0.16596533333333333
